Denominazione,Indirizzo,Coordinate
001 - Area Attesa Vinaio - Piazza,Vinaio - Frazione Vinaio,"12° 56' 53.48'' E, 46° 26' 26.18'' N"
002 - Area Attesa Vinaio - Campo Giochi,Vinaio - Frazione Vinaio,"12° 56' 42.14'' E, 46° 26' 23.80'' N"
003 - Area Attesa Trava - Campo Giochi,Trava - Frazione Trava,"12° 53' 42.50'' E, 46° 26' 22.76'' N"
004 - Area Attesa Chiassis,Chiassis di Sopra - Frazione Chiassis,"12° 53' 09.86'' E, 46° 26' 13.75'' N"
005 - Area Attesa Avaglio - Campo Giochi,Avaglio - Frazione Avaglio,"12° 54' 51.34'' E, 46° 25' 54.35'' N"
006 - Area Attesa Val di Lauco - Parcheggio,Val di Lauco - Località Val,"12° 55' 58.82'' E, 46° 27' 41.51'' N"
007 - Area Attesa Trava - Parcheggio ex Scuole,Trava - Frazione Trava,"12° 54' 00.99'' E, 46° 26' 19.56'' N"
008 - Area Attesa Avaglio - Parcheggio Colonia,Avaglio - Frazione Avaglio,"12° 54' 47.84'' E, 46° 25' 58.23'' N"
009 - Area Attesa Plugna - Piazzola fermata autobus,Plugna - Località Plugna,"12° 57' 30.02'' E, 46° 26' 28.30'' N"
010 - Area Attesa Lauco - Campo Giochi,Lauco - Lauco - Capoluogo,"12° 56' 04.70'' E, 46° 25' 22.95'' N"
011 - Area Attesa Lauco - Borgo Chiarenies,Lauco - Lauco - Capoluogo,"12° 55' 51.15'' E, 46° 25' 32.63'' N"
012 - Area Attesa Località Pesmolet - Parcheggio,Pesmolet - Località Pesmolet,"12° 57' 32.32'' E, 46° 26' 42.72'' N"
013 - Area Attesa Località Uerpa e Vas,Uerpa e Vas - Località Uerpa,"12° 57' 51.85'' E, 46° 26' 36.04'' N"
014 - Area Attesa Allegnidis,Allegnidis - Frazione Allegnidis,"12° 56' 34.53'' E, 46° 25' 57.83'' N"
015 - Area Attesa Chiauians,Chiauians - Località Chiauians,"12° 56' 17.58'' E, 46° 25' 40.86'' N"
016 - Area Attesa Lauco - Somp Ribes,Lauco - Lauco - Capoluogo,"12° 55' 47.38'' E, 46° 25' 25.06'' N"
017 - Area Attesa Buttea,Buttea - Frazione Buttea,"12° 58' 06.22'' E, 46° 26' 22.26'' N"
