Denominazione,Indirizzo,Coordinate
002 - Area di Attesa 2 - Area Verde Alnicco,Alnicco - Via Borgo Bassi Inferiore,"13° 09' 43.07'' E, 46° 07' 02.63'' N"
005 - Area di Attesa 1 - Borgo Marano,Alnicco - Via Borgo Marano,"13° 10' 10.56'' E, 46° 06' 39.07'' N"
006 - Area di Attesa 3 - Brazzacco Centro,"Brazzacco - Strada del Val,1","13° 09' 31.43'' E, 46° 07' 12.94'' N"
007 - Area di Attesa 4 - Borgo Colmalisio,"Borgo Colmalisio - Via Colmalisio, 5","13° 09' 39.79'' E, 46° 07' 25.37'' N"
017 - Area di Attesa 5 - Plesso Scolastico,"Plesso Scolastico - via Divisione Julia, 7","13° 08' 21.68'' E, 46° 07' 20.04'' N"
018 - Area di Attesa 6 - Borgo Modotto,"Borgo Modotto - via San Michele, 2","13° 08' 16.94'' E, 46° 07' 36.10'' N"
019 - Area di Attesa 7 - Strada dei Prati,"Loc. Strada dei Prati / Ex Fornaci - Strada dei Prati, 10","13° 07' 41.54'' E, 46° 07' 37.36'' N"
020 - Area di Attesa 8 - Borgo Monti-Pegoraro,"Borgo Monti/Pegoraro - Via Monti,6","13° 07' 12.01'' E, 46° 07' 15.93'' N"
023 - Area di Attesa 9 - Borgo Centa,"Borgo Centa - Via Centa, 8","13° 07' 23.08'' E, 46° 07' 11.83'' N"
024 - Area di Attesa 10 - Borgo Carbonaria,"Borgo Carbonaria - via Stradella, sn","13° 06' 44.58'' E, 46° 06' 59.37'' N"
025 - Area di Attesa 11 - Borgo Tampognacco,"Borgo Tampognacco - via Tampognacco, 7","13° 07' 20.83'' E, 46° 06' 59.83'' N"
026 - Area di Attesa 12 - Campo Sportivo,"Borgo Coranzano - via des Stopis, 6","13° 07' 52.57'' E, 46° 07' 02.09'' N"
027 - Area di Attesa 13 - Borgo Lavia,"Borgo Lavia - via Telezae, 19","13° 08' 27.70'' E, 46° 06' 32.71'' N"
028 - Area di Attesa 14 - Borgo Mazzanins,"Molino Zanor  - via Molino Zanor, 8","13° 08' 35.00'' E, 46° 06' 57.37'' N"
029 - Area di Attesa 15 - Santa Margherita del Gruagno,"Santa Margherita del Gruagno - via Ceresetto, 6","13° 09' 09.13'' E, 46° 06' 39.53'' N"
030 - Area di Attesa 16 - Brazzacco Superiore,"Brazzacco Superiore - via del Castello, 2","13° 08' 49.84'' E, 46° 07' 23.43'' N"
