Denominazione,Indirizzo,Coordinate
001 - COMPENDIO EX CASERMA ZUCCHI,Casasola - via Attilio Ruffi,"13° 18' 10.06'' E, 46° 24' 19.21'' N"
002 - Chiout Cali,Chiou Cali - via Chiout Cali,"13° 22' 09.64'' E, 46° 24' 16.44'' N"
003 - Roveredo,Frazione di Roveredo - via Roveredo,"13° 15' 08.31'' E, 46° 23' 49.52'' N"
004 - Campo sportivo,"Chiusaforte, capoluogo - via Centro Sportivo","13° 18' 20.76'' E, 46° 24' 18.94'' N"
005 - Campo Mandi - Raccolana,Fraz. Raccolana - Via Campo Mandi,"13° 18' 56.60'' E, 46° 24' 20.39'' N"
006 - Frazione Saletto,Saletto - SP76,"13° 22' 44.19'' E, 46° 24' 12.84'' N"
007 - frazione Pezzeit,Pezzeit - via Pezzeit,"13° 21' 23.60'' E, 46° 24' 00.26'' N"
008 - Frazione Tamaroz,Tamaroz - Piazzale in via Tamaroz,"13° 24' 05.22'' E, 46° 23' 59.35'' N"
009 - Frazione Piani di Qua, Piani di Qua - via  Piani di Qua,"13° 25' 00.88'' E, 46° 24' 11.26'' N"
010 - Frazione Piani di Là,"Frazione Piani di La - via piani di la, parcheggio","13° 25' 20.00'' E, 46° 24' 06.04'' N"
011 - Frazione Pianatti,Piani di La - via piani di La,"13° 25' 27.86'' E, 46° 24' 05.24'' N"
012 - Area di Attesa Sella Nevea,SELLA NEVEA - Piazzale Slovenia,"13° 28' 24.02'' E, 46° 23' 14.39'' N"
013 - Piani di Sotto,Piani di Sotto - Via Piani di Sotto,"13° 25' 09.88'' E, 46° 24' 02.97'' N"
