Denominazione,Sensori,Coordinate
PCIV - Saletto,"Temperatura, Pioggia","13° 22' 32.02'' E, 46° 24' 10.01'' N"
PCIV - Livinal Lunc,"Umidità, Altezza della neve, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","13° 28' 13.01'' E, 46° 22' 27.98'' N"
PCIV - Chiusaforte,"Temperatura, Idrometro, Pioggia","13° 19' 00.01'' E, 46° 24' 20.02'' N"
