Denominazione,Indirizzo,Coordinate
006 - Area parcheggio sala da ballo Socchieve,Socchieve - via Giusto Lenna,"12° 50' 49.73'' E, 46° 23' 46.25'' N"
013 - Piazza Monumento FELTRONE,Feltrone - Via col gentile,"12° 50' 07.54'' E, 46° 25' 07.06'' N"
022 - Borgo nicolo' Paganini,Lungis - Strada comunale Mediis Dilignidis,"12° 49' 18.86'' E, 46° 24' 39.63'' N"
030 - Inizio abitato da mediis,Nonta - ,"12° 50' 13.68'' E, 46° 23' 54.88'' N"
039 - Sede Protezione Civile,mediis - ,"12° 49' 26.00'' E, 46° 24' 14.77'' N"
041 - Chiamesans piazzetta,Chiamesans - ,"12° 48' 13.23'' E, 46° 24' 21.77'' N"
044 - Parcheggio sala da ballo,Priuso - Via guglielmo marconi,"12° 48' 49.37'' E, 46° 24' 11.04'' N"
047 - Parcheggio osteria Caprizi,Caprizi - ,"12° 47' 10.36'' E, 46° 22' 48.77'' N"
048 - Centro Culturale, - ,"12° 51' 03.71'' E, 46° 23' 52.91'' N"
049 - Ex Scuole dilignidis,,"12° 49' 53.61'' E, 46° 24' 50.30'' N"
050 - La Baita, - ,"12° 50' 56.95'' E, 46° 24' 25.84'' N"
