Denominazione,Indirizzo,Coordinate
001 - Chiesetta Melesons,Mels - Via Melesons,"13° 05' 49.80'' E, 46° 10' 32.65'' N"
002 - Parcheggio bar Masino,Mels - Incrocio Via Paradise con via Matteotti,"13° 06' 29.83'' E, 46° 10' 33.43'' N"
004 - Laibacco ,Laibacco - Via Laibacco Superiore,"13° 08' 01.76'' E, 46° 10' 06.66'' N"
005 - Pesa Mels,Mels - Incrocio via Della Filanda e via della Libertà,"13° 06' 47.21'' E, 46° 10' 39.17'' N"
006 - Cortemaggiore   ,Cortemaggiore - Colloredo di M.A.  - Incrocio via Tricesimo e  via dai Cueis,"13° 08' 45.13'' E, 46° 10' 00.42'' N"
007 - Chiesa Lauzzana,Lauzzana - Via Lauzzana,"13° 07' 56.66'' E, 46° 09' 36.67'' N"
008 - Chiesetta S. Rocco,Lauzzana - Via S. Rocco,"13° 07' 31.46'' E, 46° 09' 32.39'' N"
009 - Codugnella,Codugnella - Via Codugnella,"13° 06' 31.01'' E, 46° 08' 58.70'' N"
010 - Parco giochi Caporiacco,Caporiacco - Via Paniae,"13° 05' 49.28'' E, 46° 08' 45.30'' N"
012 - Parcheggio chiesetta San Martino,Castello - Caporiacco - Via Sottocastello,"13° 05' 15.54'' E, 46° 08' 57.71'' N"
013 - Trattoria alla Frasca ( ex agriturismo da Gabri ),Caporiacco  - Incrocio via S. Daniele e via Molini,"13° 04' 59.57'' E, 46° 08' 43.18'' N"
014 - Entesano ,Entesano - Mels - Via Entesano - Fermata Scuolabus,"13° 06' 30.03'' E, 46° 09' 49.60'' N"
015 - Pradis  zona artigianale,Pradis - Via Pradis di Sotto,"13° 09' 02.19'' E, 46° 09' 15.81'' N"
016 - Incrocio via Cornosin,"Mels - Incrocio via Cornosin, via Melesons","13° 06' 12.84'' E, 46° 10' 34.37'' N"
017 - Borgo Aveacco,Aveacco - Via Carvacco,"13° 07' 55.86'' E, 46° 10' 36.56'' N"
018 - Parcheggio campo sportivo Caporiacco,Caporiacco - Via Fagagna,"13° 05' 30.39'' E, 46° 08' 37.55'' N"
019 - Parcheggio Centro Civico ,Colloredo di Monte Albano - Via Fontanine,"13° 08' 14.85'' E, 46° 09' 49.47'' N"
