Denominazione,Indirizzo,Coordinate
002 - Piazza San Giovanni di Duino,San Giovanni di Duino - San Giovanni di Duino,"13° 35' 29.24'' E, 45° 47' 19.96'' N"
003 - Piazza Medeazza,Medeazza - Medeazza,"13° 36' 17.64'' E, 45° 47' 52.70'' N"
004 - Piazza Villaggio del Pescatore,Villaggio del Pescatore - Villaggio del Pescatore,"13° 35' 11.98'' E, 45° 46' 54.23'' N"
005 - Piazza Duino,Duino - Duino,"13° 36' 15.84'' E, 45° 46' 24.15'' N"
006 - Piazza Sistiana,Sistiana Centro - Sistiana Centro,"13° 38' 12.89'' E, 45° 46' 17.67'' N"
007 - Piazza Ceroglie,Ceroglie - Ceroglie,"13° 38' 37.96'' E, 45° 47' 17.88'' N"
008 - Piazza Malchina,Malchina - Malchina,"13° 39' 35.66'' E, 45° 47' 06.95'' N"
009 - Piazza Stazione Visogliano,Stazione Ferroviaria Sistiana Visogliano - Stazione Ferroviaria Sistiana Visogliano,"13° 38' 44.31'' E, 45° 46' 28.92'' N"
010 - Piazza Chiesa Borgo San Mauro,Borgo San Mauro - Borgo San Mauro,"13° 38' 32.96'' E, 45° 45' 55.97'' N"
011 - Piazza Municipio Aurisina ,Aurisina Cave - Aurisina Cave 25,"13° 39' 33.58'' E, 45° 45' 14.28'' N"
012 - Piazza Slivia,Slivia - Slivia,"13° 39' 57.70'' E, 45° 46' 12.31'' N"
013 - Piazza monumento Precenico,Precenico Inferiore - Precenico Inferiore,"13° 41' 00.73'' E, 45° 46' 38.21'' N"
014 - Piazza San Pelagio,San Pelagio - San Pelagio,"13° 41' 14.21'' E, 45° 45' 57.03'' N"
015 - Piazza Prepotto,Prepotto - Prepotto,"13° 41' 35.99'' E, 45° 45' 52.05'' N"
016 - Incrocio Ternova Piccola,Ternova Piccola - Ternova Piccola,"13° 42' 04.50'' E, 45° 45' 51.51'' N"
017 - Piazza Chiesa Aurisina Centro,Aurisina Centro - Aurisina Centro,"13° 40' 24.00'' E, 45° 44' 58.85'' N"
018 - Piazza Aurisina Stazione,Aurisina Stazione - Stazione Ferroviaria di Aurisina Stazione,"13° 41' 14.27'' E, 45° 45' 12.80'' N"
019 - Parcheggio Sistiana Mare,Sistiana Mare - Sistiana Mare,"13° 37' 52.04'' E, 45° 46' 15.71'' N"
