Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA DEL VILLAGGIO DEL PESCATORE,"Villaggio del Pescatore - Villaggio del Pescatore, 102 - 34011 Duino Aurisina","13° 35' 12.76'' E, 45° 46' 52.34'' N"
003 - SCUOLA PRIMARIA DANTE ALIGHIERI,"Duino - Duino, 77/C - 34011 Duino Aurisina","13° 36' 18.36'' E, 45° 46' 28.91'' N"
004 - SCUOLA PRIMARIA GIOVANNI PASCOLI,"Sistiana - Sistiana, 33/D - 34011 Duino Aurisina","13° 38' 24.96'' E, 45° 46' 19.06'' N"
005 - SCUOLA PRIMARIA S.GRUDEN - LINGUA INS.SLOVENA,"San Pelagio - San Pelagio, 50 - 34011 Duino Aurisina","13° 41' 10.56'' E, 45° 45' 56.27'' N"
006 - SCUOLA MEDIA STATALE IGO GRUDEN - LING.INS.SLOVENA,"Aurisina - Aurisina Cave, 16 - 34011 Duino Aurisina","13° 39' 45.33'' E, 45° 44' 56.08'' N"
007 - SCUOLA SECONDARIA DI 1° GRADO CARLO DE MARCHESETTI,"Sistiana - Sistiana, 225 - 34011 Duino Aurisina","13° 38' 28.59'' E, 45° 45' 51.79'' N"
008 - SCUOLA DELL'INFANZIA DI AURISINA,"Aurisina - Aurisina, 173/A - 34011 Duino Aurisina","13° 40' 32.49'' E, 45° 44' 53.07'' N"
009 - SCUOLA DELL'INFANZIA DI DUINO,"Duino - Duino, 62/I - 34011 Duino Aurisina","13° 36' 09.83'' E, 45° 46' 25.40'' N"
010 - SCUOLA DELL'INFANZIA DI MALCHINA - L.INS.SLOVENA,"Malchina - Malchina, 55 - 34011 Duino Aurisina","13° 39' 16.86'' E, 45° 46' 57.97'' N"
011 - SCUOLA MATERNA COMUNALE DI BORGO SAN MAURO,Sistiana - Località Sistiana - Borgo San Mauro,"13° 38' 24.84'' E, 45° 45' 57.51'' N"
012 - SCUOLA DELL'INFANZIA DI SISTIANA,"Sistiana - Sistiana, 124 - 34011 Duino Aurisina","13° 38' 23.68'' E, 45° 46' 24.37'' N"
013 - SCUOLA PRIMARIA V. SCEK - LINGUA INS.SLOVENA,"Aurisina - Aurisina Cave, 85 - 34011 Duino Aurisina","13° 40' 06.82'' E, 45° 45' 10.22'' N"
014 - SCUOLA PRIMARIA J. JURCIC - K.STREKELJ - LINGUA INS.SLOVENA,"Duino - Duino, 77/C - 34011 Duino Aurisina","13° 36' 18.61'' E, 45° 46' 29.29'' N"
015 - SCUOLA DELL'INFANZIA DI DUINO - LINGUA INS. SLOVENA,"Duino - Duino, 62/I - 34011 Duino Aurisina","13° 36' 10.50'' E, 45° 46' 25.30'' N"
016 - SCUOLA DELL'INFANZIA DI AURISINA - LINGUA INS. SLOVENA,"Aurisina - Aurisina, 173/A - 34011 Duino Aurisina","13° 40' 32.10'' E, 45° 44' 52.81'' N"
017 - SCUOLA MATERNA COMUNALE DI SAN PELAGIO - LINGUA INS. SLOVENA,"San Pelagio - San Pelagio, 50 - 34011 Duino Aurisina","13° 41' 09.74'' E, 45° 45' 56.33'' N"
018 - ASILO NIDO POLLICINO,"Sistiana - Sistiana, 124 - 34011 Duino Aurisina","13° 38' 24.93'' E, 45° 45' 57.11'' N"
019 - ASILO NIDO DI SISTIANA,"Sistiana - Sistiana, 18 - 34011 Duino Aurisina","13° 38' 23.96'' E, 45° 46' 23.66'' N"
