Denominazione,Sensori,Coordinate
PCIV - Udine,"Umidità, Pressione, Temperatura, Pioggia","13° 14' 07.01'' E, 46° 03' 56.02'' N"
H4 - Udine,"Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Temperatura al suolo, Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento a 2 m (intensità), Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","13° 13' 40.08'' E, 46° 02' 09.96'' N"
