Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA GABRIELE LUIGI PECILE,Udine - Via Alessandro Manzoni 4,"13° 14' 14.78'' E, 46° 03' 30.83'' N"
002 - SCUOLA DELL'INFANZIA DI PAPAROTTI,Paparotti - Via Pellis 7,"13° 15' 21.65'' E, 46° 01' 33.80'' N"
003 - SCUOLA DELL'INFANZIA MONSIGNOR COSSETTINI,Udine - Via Vipacco 9,"13° 13' 16.25'' E, 46° 03' 15.84'' N"
004 - SCUOLA DELL'INFANZIA MARCO VOLPE,Udine - Via Marco Volpe 30,"13° 13' 40.03'' E, 46° 03' 48.77'' N"
005 - SCUOLA DELL'INFANZIA ARCHIMEDE TAVERNA - controllare localizzazione,Udine - Via Colugna 4,"13° 14' 01.11'' E, 46° 04' 41.59'' N"
006 - SCUOLA DELL'INFANZIA A.PICK,Udine - Via del Bon 9,"13° 15' 13.24'' E, 46° 03' 50.94'' N"
007 - SCUOLA DELL'INFANZIA SORELLE AGAZZI,Udine - Via Petrarca 9,"13° 14' 35.45'' E, 46° 03' 52.39'' N"
008 - SCUOLA DELL'INFANZIA DI VIA BALDASSERIA MEDIA,Udine - Via Baldasseria Media,"13° 15' 07.96'' E, 46° 03' 10.16'' N"
009 - SCUOLA DELL'INFANZIA DI VIA LAIPACCO,Laipacco - Via Mozambano 139,"13° 16' 02.35'' E, 46° 03' 37.48'' N"
010 - SCUOLA DELL'INFANZIA SACRO CUORE - controllare localizzazione,Udine - Via Cividale 220,"13° 15' 12.15'' E, 46° 04' 19.86'' N"
011 - SCUOLA DELL'INFANZIA G. ZAMBELLI,Udine - Via Bernardinis 105,"13° 14' 27.42'' E, 46° 04' 30.01'' N"
012 - SCUOLA DELL'INFANZIA M. FORTE,Udine - Via Riccardo di Giusto,"13° 15' 42.28'' E, 46° 04' 34.11'' N"
013 - SCUOLA DELL'INFANZIA ARISTIDE GABELLI,"Udine - Via Bariglaria, 350","13° 15' 48.36'' E, 46° 05' 50.96'' N"
014 - SCUOLA DELL'INFANZIA DI VIA D'ARTEGNA,Udine - Via d'Artegna,"13° 14' 32.93'' E, 46° 04' 43.09'' N"
015 - SCUOLA DELL'INFANZIA PIETRO BENEDETTI,Udine - Via Lombardia 9,"13° 12' 26.51'' E, 46° 04' 32.40'' N"
016 - SCUOLA DELL'INFANZIA I° MAGGIO,Udine - Via Martignacco 60,"13° 13' 07.25'' E, 46° 04' 24.51'' N"
017 - SCUOLA DELL'INFANZIA G.CENTAZZO,Rizzi - Via delle Scuole 7,"13° 12' 05.72'' E, 46° 05' 02.76'' N"
019 - SCUOLA PRIMARIA ADA NEGRI,Udine - Via Zucchi 2,"13° 14' 33.62'' E, 46° 03' 02.79'' N"
020 - SCUOLA PRIMARIA A.ZARDINI,Cussignacco - Via Padova 19,"13° 14' 55.98'' E, 46° 01' 52.63'' N"
021 - SCUOLA PRIMARIA LEA D'ORLANDI,Udine - Via Sabbadini 52,"13° 13' 32.46'' E, 46° 03' 16.29'' N"
022 - SCUOLA PRIMARIA SILVIO PELLICO,Udine - Via San Pietro 70,"13° 13' 25.55'' E, 46° 02' 37.63'' N"
023 - SCUOLA PRIMARIA QUATTRO NOVEMBRE,Udine - Via Magrini 6,"13° 13' 48.14'' E, 46° 03' 46.99'' N"
024 - SCUOLA PRIMARIA GIOVANNI PASCOLI,Udine - Via Pordenone,"13° 13' 41.45'' E, 46° 04' 20.88'' N"
025 - SCUOLA PRIMARIA DIVISIONE ALPINA JULIA,Udine - Via Colugna 1,"13° 14' 00.25'' E, 46° 04' 41.97'' N"
026 - SCUOLA PRIMARIA PIETRO ZORUTTI,Udine - Via XXX Ottobre 3,"13° 14' 54.14'' E, 46° 03' 51.02'' N"
027 - SCUOLA PRIMARIA  LUIGI GARZONI,Udine - Via Ronchi 14,"13° 14' 40.08'' E, 46° 03' 44.36'' N"
028 - SCUOLA PRIMARIA MARIA BOSCHETTI ALBERTI,Baldasseria - Via Baldasseria  Media 25,"13° 15' 13.20'' E, 46° 03' 01.06'' N"
029 - SCUOLA PRIMARIA EMILIO GIRARDINI,Udine - Via Judrio 1,"13° 15' 59.17'' E, 46° 04' 20.75'' N"
030 - SCUOLA PRIMARIA GIUSEPPE MAZZINI,Udine - Via Bariglaria 327,"13° 15' 51.67'' E, 46° 05' 50.35'' N"
