,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        5304
      ","
        
      ","
        49
      ","
        5353
      "
"
        Numero di famiglie
      ","
        2203
      ","
        
      ","
        20
      ","
        2223
      "
"
        Numero di abitazioni
      ","
        2416
      ","
        
      ","
        22
      ","
        2438
      "
"
        Numero di edifici
      ","
        2030
      ","
        
      ","
        17
      ","
        2047
      "
"
        Numero di edifici residenziali
      ","
        1709
      ","
        
      ","
        14
      ","
        1723
      "
