Denominazione,Sensori,Coordinate
PCIV - Scolmatore Corno Tagliamento,,"13° 01' 28.99'' E, 46° 08' 39.01'' N"
PCIV - San Daniele del Friuli,"Temperatura, Pioggia","13° 00' 51.01'' E, 46° 09' 25.99'' N"
