Denominazione,Indirizzo,Coordinate
001 - Ex casa cantoniera,Artegna - Statale 13,"13° 08' 47.01'' E, 46° 14' 05.21'' N"
002 - Palestra Porcians,Artegna - Via Liguria,"13° 08' 55.38'' E, 46° 14' 09.97'' N"
003 - Parcheggio Via Guarnerio,Artegna - Via Guarnerio d'Artegna,"13° 08' 53.16'' E, 46° 14' 28.83'' N"
004 - Parcheggio di via Sottocastello,Artegna - via Sottocastello,"13° 08' 41.95'' E, 46° 14' 25.17'' N"
005 - Parcheggio via Piacenza,Artegna - Piazza Marnico,"13° 09' 25.17'' E, 46° 14' 31.47'' N"
006 - Parco Urbano di via Villa e L. Menis,Artegna - incrocio via Villa via L. Menis,"13° 09' 21.51'' E, 46° 14' 17.20'' N"
007 - Parcheggio stazione FF.SS.,Artegna - via Micossi,"13° 09' 43.06'' E, 46° 13' 53.16'' N"
008 - Via Salt,Artegna - Vi Salt,"13° 09' 17.18'' E, 46° 14' 48.08'' N"
009 - Piazzetta via Sornico Superiore,Artegna - via Sornico Superiore,"13° 09' 20.19'' E, 46° 15' 33.11'' N"
010 - Via Sornico Inferiore,Artegna - via Sornico Inferiore,"13° 09' 27.22'' E, 46° 15' 10.57'' N"
011 - Borgo Monte,Artegna - Borgo Monte,"13° 09' 36.57'' E, 46° 14' 21.27'' N"
012 - Casali orvenco,Artegna - Casali Orvenco,"13° 08' 50.14'' E, 46° 15' 19.12'' N"
013 - Borgo Val,Artegna - Borgo Val,"13° 08' 59.70'' E, 46° 14' 41.59'' N"
014 - Aplia Superiore,Artegna - via Aplia Superiore,"13° 09' 07.87'' E, 46° 15' 01.41'' N"
015 - Aplia Inferiore,Artegna - Vai Aplia Inferiore,"13° 09' 05.48'' E, 46° 14' 56.39'' N"
016 - Via Sottomonte,Artegna - ,"13° 09' 46.65'' E, 46° 14' 09.36'' N"
017 - Piazzetta via Montenars,Artegna - Piazza Marnico,"13° 09' 17.53'' E, 46° 14' 31.92'' N"
