,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        767
      ","
        
      ","
        8
      ","
        775
      "
"
        Numero di famiglie
      ","
        323
      ","
        
      ","
        3
      ","
        326
      "
"
        Numero di abitazioni
      ","
        370
      ","
        
      ","
        4
      ","
        374
      "
"
        Numero di edifici
      ","
        296
      ","
        
      ","
        4
      ","
        300
      "
"
        Numero di edifici residenziali
      ","
        250
      ","
        
      ","
        3
      ","
        253
      "
