Denominazione,Indirizzo,Coordinate
002 - Strada Regionale 356 - Via Tarcento,Nimis - Incrocio Via Tarcento / Via Udine,"13° 15' 26.69'' E, 46° 11' 45.14'' N"
003 - Via A Volta,Nimis - Incrocio Via Carducci / Via A. Volta,"13° 15' 39.00'' E, 46° 12' 16.09'' N"
005 - Via del Molino,Nimis - Via del Molino,"13° 16' 03.05'' E, 46° 12' 24.36'' N"
008 - Via Ariis di Sotto,Nimis - Via Ariis di Sotto,"13° 16' 05.20'' E, 46° 11' 53.18'' N"
009 - San Gervasio,Nimis - Via San Gervasio,"13° 16' 32.23'' E, 46° 12' 01.17'' N"
011 - Torlano - Ex Stalla Sociale,Torlano - Via Pescia,"13° 16' 14.72'' E, 46° 13' 06.30'' N"
013 - Torlano - Via Montegrappa,Nimis / Torlano - Via Montegrappa,"13° 16' 48.06'' E, 46° 13' 22.72'' N"
015 - Borgo Tamar,Nimis / Tamar - Via Tamar,"13° 16' 28.92'' E, 46° 14' 08.74'' N"
016 - Borgo di Mezzo,Nimis / Chialminis - Incrocio Via Borgo di mezzo - Via Pascoli,"13° 16' 44.03'' E, 46° 14' 19.75'' N"
017 - Chialminis ,Nimis / Chialminis - Via Sant'Elena,"13° 16' 56.48'' E, 46° 14' 36.47'' N"
018 - Cergneu inf.,Nimis / Cergneu inf. - Via Verdi,"13° 18' 07.87'' E, 46° 12' 35.24'' N"
020 - Cergneu sup. ,Cergneu sup - Via della Chiesa,"13° 19' 05.24'' E, 46° 12' 57.76'' N"
021 - Vallemontana ,Vallemontana - Via San Giuseppe,"13° 17' 33.25'' E, 46° 12' 51.76'' N"
022 - Monteprato,Nimis / Monteprato - Via I Maggio / Via degli Alpini,"13° 18' 08.77'' E, 46° 13' 59.45'' N"
023 - Borgo Cloz,Nimis / Borgo Cloz - Incrocio Via Cloz - Via Matarus,"13° 14' 58.92'' E, 46° 12' 23.41'' N"
024 - Nimis - P.za XXIX settembre,Nimis - Piazza XXIX settembre,"13° 15' 56.60'' E, 46° 12' 02.01'' N"
025 - Borgo Vigant,Vigant - Via Vigant,"13° 17' 28.98'' E, 46° 14' 39.92'' N"
026 - Cergneu - Nongruella,Nimis / Cergneu sup. - Via Nongruella,"13° 19' 43.84'' E, 46° 13' 20.89'' N"
