Denominazione,Indirizzo,Coordinate
002 - Borgnano - Parcheggio CampoSanto,Borgnano - via puccini,"13° 26' 37.88'' E, 45° 55' 58.10'' N"
005 - Cormons - parcheggio piazzale sfiligoi,cormòns - piazzale sfiligopi e via pozzetto,"13° 28' 17.78'' E, 45° 57' 36.64'' N"
006 - Brazzano - Caserma Colombini,Brazzano - ,"13° 27' 14.36'' E, 45° 58' 33.30'' N"
007 - Plessiva - ex-scuola elementare,Plessiva - SR 409,"13° 29' 59.59'' E, 45° 58' 26.60'' N"
008 - Giassico - piazza,Giassico - ,"13° 26' 38.42'' E, 45° 58' 29.81'' N"
009 - Cormons - Area di via Novarie,Cormons - Via Novarie,"13° 27' 33.61'' E, 45° 57' 51.74'' N"
010 - Cormons - Parcheggio della Stazione,Cormons - Via De Gasperi,"13° 27' 41.79'' E, 45° 57' 30.78'' N"
011 - Cormons - Area di Via Gramsci,Cormons - Via Gramsci,"13° 27' 41.26'' E, 45° 57' 11.95'' N"
012 - Cormons - Area Campo Sportivo di Via Gorizia,Cormons - Via Gorizia,"13° 28' 18.25'' E, 45° 57' 11.30'' N"
013 - Cormons - Area Scuola Media via Roma,Cormons - Viale Roma,"13° 28' 29.45'' E, 45° 57' 18.95'' N"
