Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA MONSIGNOR COCOLIN,Cormons - Via della Resistenza 6,"13° 27' 46.98'' E, 45° 57' 15.37'' N"
002 - SCUOLA DELL'INFANZIA DI BRAZZANO,Brazzano - Via Collio 2,"13° 27' 15.00'' E, 45° 58' 27.94'' N"
003 - SCUOLA DELL'INFANZIA DI VIALE ROMA,Cormons - Via Gorizia 94,"13° 28' 21.09'' E, 45° 57' 12.98'' N"
005 - SCUOLA SECONDARIA DI 1° GRADO GIOVANNI PASCOLI - palestra vecchia,Cormons - Viale Roma 19,"13° 28' 25.62'' E, 45° 57' 20.79'' N"
007 - SCUOLA SECONDARIA DI 1° GRADO GIOVANNI PASCOLI,Cormons - Viale Roma 21,"13° 28' 29.05'' E, 45° 57' 21.49'' N"
"008 - SCUOLA DELL'INFANZIA PARITARIA ""ROSA MISTICA"" - CONGREGAZIONE SUORE DELLA PROVVIDENZA",Cormons - Via Cesare Battisti 7,"13° 28' 25.92'' E, 45° 57' 29.56'' N"
009 - SCUOLA SECONDARIA DI 1° GRADO GIOVANNI PASCOLI - palestra nuova,Cormons - Viale Roma,"13° 28' 29.16'' E, 45° 57' 17.56'' N"
010 - SCUOLA PRIMARIA ALESSANDRO MANZONI,Cormons - Viale Roma 19,"13° 28' 26.82'' E, 45° 57' 19.79'' N"
012 - SCUOLA DELL'INFANZIA PARITARIA GIALLO ORO - Metodo insegnamento Waldorf,Borgnano - Piazza della Repubblica 33,"13° 26' 33.42'' E, 45° 55' 56.84'' N"
013 - SCUOLA PRIMARIA LUDVIK ZORZUT - LINGUA INS. SLOVENA,Brazzano - Via Collio,"13° 27' 13.11'' E, 45° 58' 29.10'' N"
014 - SCUOLA DELL'INFANZIA DI CORMONS - LINGUA INS. SLOVENA,Brazzano - Via Collio,"13° 27' 13.57'' E, 45° 58' 28.93'' N"
015 - SCUOLA PRIMARIA VITTORINO DA FELTRE,Cormons - Viale Roma 19,"13° 28' 27.42'' E, 45° 57' 19.57'' N"
016 - ASILO NIDO COMUNALE IL GERMOGLIO,Cormons - Via Armistizio,"13° 28' 02.39'' E, 45° 57' 37.75'' N"
