Denominazione,Indirizzo,Coordinate
001 - SCUOLE ELEMENTARI,CAPOLUOGO - VIA BRIAN,"13° 04' 42.12'' E, 45° 47' 31.22'' N"
"002 - NUOVO CAMPO SPORTIVO COMUNALE ""F. COMISSO""",CAPOLUOGO - VIA DEI CARPINI,"13° 03' 47.21'' E, 45° 46' 59.98'' N"
003 - piazza del porto,capoluogo - piazza del Porto,"13° 04' 44.91'' E, 45° 47' 22.87'' N"
004 - parcheggio sala polifunzionale,Capoluogo - Via Lignano,"13° 04' 39.63'' E, 45° 47' 13.67'' N"
006 - Piazzetta del bando di Sotto,Bosco bando - piazzetta del Bando di Sotto,"13° 04' 08.83'' E, 45° 47' 05.99'' N"
007 - parcheggio Via de Minerbi,ex Peep - Via Caterina de Minerbi,"13° 04' 35.34'' E, 45° 47' 36.39'' N"
008 - Pista Ciclabile Via Brian,Precenicco - Via Brian (inizio),"13° 04' 17.10'' E, 45° 48' 05.91'' N"
009 - Baccichetto,Titiano - Via Lignano,"13° 03' 47.31'' E, 45° 46' 01.55'' N"
010 - area antistante ristorante al Canedo,Canedo - Via canedo,"13° 04' 06.85'' E, 45° 43' 21.97'' N"
011 - Via Zardini,Precenicco,"13° 04' 25.67'' E, 45° 47' 53.19'' N"
