Denominazione,Indirizzo,Coordinate
001 - PIAZZA DURIGON,CAPOLUOGO-RIGOLATO - P.ZZA DURIGON ,"12° 51' 06.90'' E, 46° 33' 09.36'' N"
003 - LUDARIA,FRAZIONE LUDARIA  - PRESSO CHIESA DI SANT ANNA ,"12° 50' 41.29'' E, 46° 33' 13.49'' N"
004 - GIVIGLIANA,FRAZIONE DI GIVIGLIANA  - INGRESSO FRAZIONE ZONA LONTANA DA CAMPANILE ,"12° 51' 08.39'' E, 46° 33' 58.96'' N"
005 - Valpicetto ,FRAZIONE VALPICETTO - INCROCIO INTERNO  ,"12° 51' 38.75'' E, 46° 32' 27.81'' N"
006 - fermata autocorriere valpicetto,FRAZIONE VALPICETTO - INTERSEZIONE CON STRDA REG VAL DEGANO 355,"12° 51' 47.73'' E, 46° 32' 16.55'' N"
007 - parcheggio municipio,"CAPOLUOGO-RIGOLATO - VIA DELLA REPUBBLICA, 59","12° 51' 13.26'' E, 46° 32' 58.80'' N"
008 - struttura coperta-campo sportivo,RIGOLATO-CAPOLUOGO - VIA RINASCITA ,"12° 51' 15.04'' E, 46° 33' 12.12'' N"
009 - Frazione Vuezzis-piazzale chiesa,FRAZIONE VUEZZIS  - INGRESSO DI VUEZZIS PRESSO CHIESA ,"12° 51' 43.04'' E, 46° 33' 13.92'' N"
010 - parcheggio coperto gracco,FRAZIONE DI GRACCO  - INGRESSO FRAZIONE DI GRACCO ,"12° 51' 49.55'' E, 46° 32' 54.85'' N"
011 - tornate tors,LOC TORS  - STRADA COMUNALE PER GIVIGLIANA ,"12° 49' 13.10'' E, 46° 34' 14.57'' N"
012 - chiesa di ludaria,FRAZIONE DI LUDARIA-FRONTE CIVICO 27 - PIAZZALE CHIESA ,"12° 50' 54.75'' E, 46° 33' 12.83'' N"
014 - MAGNANINS SR355,FRAZ MAGNANINS  - FERMATA AUTOCORRIERE SR 355 ,"12° 51' 22.23'' E, 46° 32' 48.66'' N"
