Denominazione,Indirizzo,Coordinate
001 - Località Val di Sezza,Sezza - Val di Sezza,"13° 00' 58.86'' E, 46° 27' 32.32'' N"
002 - Parcheggio località Corbule,Zuglio - Via Sezza,"13° 01' 29.89'' E, 46° 27' 33.93'' N"
003 - Area adiacente museo archeologico,Zuglio - Piazza del Museo,"13° 01' 34.00'' E, 46° 27' 41.92'' N"
004 - Parcheggio Bueda,Zuglio - Via Fielis,"13° 01' 24.77'' E, 46° 27' 51.23'' N"
005 - Piazza Los,Fielis - Piazza Los,"13° 00' 24.50'' E, 46° 28' 14.62'' N"
006 - Parcheggio via N.Grassi,Formeaso - Via Nicola Grassi,"13° 01' 34.72'' E, 46° 27' 22.89'' N"
