Denominazione,Sensori,Coordinate
PCIV - Piancadello,,"13° 05' 25.01'' E, 45° 46' 54.01'' N"
PCIV - Cornariola roggia,"Portata, Idrometro","13° 06' 14.00'' E, 45° 48' 32.00'' N"
PCIV - Palazzolo dello Stella,Idrometro,"13° 04' 27.01'' E, 45° 48' 11.99'' N"
H4 - Palazzolo dello Stella,"Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Temperatura al suolo, Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento a 2 m (intensità), Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","13° 03' 12.96'' E, 45° 48' 24.12'' N"
