Denominazione,Indirizzo,Coordinate
001 - Scuola Primaria L. Da Vinci - CASARSA,Casarsa della Delizia - Via Moro 1,"12° 50' 19.30'' E, 45° 57' 29.82'' N"
002 - Scuola Primaria Guglielmo Marconi - San Giovanni,San Giovanni - Via Versutta 1,"12° 50' 18.71'' E, 45° 56' 29.74'' N"
003 - Scuola Secondaria di 1° Grado Enrico Fermi - CASARSA,Casarsa - Via Castellarin,"12° 50' 17.18'' E, 45° 57' 27.03'' N"
005 - Scuola Secondaria di 1° Grado Enrico Fermi -  PLESTRA - CASARSA,Casarsa della Delizia - Via Castellarin,"12° 50' 14.74'' E, 45° 57' 26.36'' N"
006 - Scuola dell'Infanzia Paritaria SACRO CUORE,"Casarsa della Delizia - via Valvasone, 20","12° 50' 38.38'' E, 45° 57' 27.12'' N"
007 - Scuola dell'Infanzia Paritaria Mons. GIACOMO JOP,San Giovanni di Casarsa - Via Versutta 20,"12° 50' 29.71'' E, 45° 56' 29.52'' N"
