,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        8320
      ","
        94
      ","
        26
      ","
        8440
      "
"
        Numero di famiglie
      ","
        3375
      ","
        34
      ","
        
      ","
        3409
      "
"
        Numero di abitazioni
      ","
        3774
      ","
        38
      ","
        
      ","
        3812
      "
"
        Numero di edifici
      ","
        2031
      ","
        32
      ","
        
      ","
        2063
      "
"
        Numero di edifici residenziali
      ","
        1830
      ","
        31
      ","
        
      ","
        1861
      "
