Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA CAMPOFORMIDO,Campoformido - via Caterina Percoto 62,"13° 09' 19.24'' E, 46° 01' 18.92'' N"
002 - SCUOLA DELL'INFANZIA VILLA PRIMAVERA,Villa Primavera - Viale delle Betulle 71,"13° 12' 18.48'' E, 46° 02' 25.44'' N"
004 - SCUOLA SECONDARIA DI 1° GRADO G. MARCHETTI - CAMPOFORMIDO -,Campoformido - via Percoto 66,"13° 09' 15.85'' E, 46° 01' 19.09'' N"
005 - SCUOLA PRIMARIA SAN GIOVANNI BOSCO - CAMPOFORMIDO -,Campoformido - via Caterina Percoto 70,"13° 09' 12.16'' E, 46° 01' 21.56'' N"
006 - SCUOLA PRIMARIA DIVISIONE ALPINA JULIA - BASALDELLA -,Basaldella - via Scortoles 31,"13° 12' 20.20'' E, 46° 02' 00.87'' N"
007 - Palestra SCUOLA PRIMARIA DIVISIONE ALPINA JULIA - BASALDELLA -,Basaldella - via Scortoles 31,"13° 12' 20.57'' E, 46° 01' 59.49'' N"
008 - Palestra SCUOLA SECONDARIA DI 1° GRADO G. MARCHETTI - CAMPOFORMIDO -,Campoformido - Via Percoto 66,"13° 09' 14.97'' E, 46° 01' 20.03'' N"
