Denominazione,Indirizzo,Coordinate
001 - Area parcheggio scuola elementare di Campoformido,"Campoformido - Via Caterina Percoto,70,33030 Campoformido","13° 09' 10.41'' E, 46° 01' 21.05'' N"
002 - Parco della Rimembranza,Bressa - Via di mezzo e Via dei Caduti,"13° 08' 43.10'' E, 46° 02' 05.25'' N"
003 - Parcheggio Via Principe di Piemonte/ Via S.Barbara,Bressa - Via Principe di Piemonte/ Via S.Barbara,"13° 08' 33.16'' E, 46° 02' 08.32'' N"
004 - Via Giovanni da Udine/ Via XI Febbraio,Bressa -  Via Giovanni da Udine/ Via XI Febbraio,"13° 09' 08.04'' E, 46° 02' 07.73'' N"
005 - ex  scuola elementare di Campoformido,Campoformido - Via E. De Amicis,"13° 09' 39.60'' E, 46° 01' 04.91'' N"
006 - Parcheggio Friulmarket,Campoformido - Via P. Zorutti,"13° 09' 21.30'' E, 46° 01' 05.47'' N"
007 - Via Principe di Udine/prossimità distributore,Campoformido - Via Principe di Udine,"13° 10' 05.17'' E, 46° 01' 28.48'' N"
008 - Parcheggio Mulino,Basaldella - Via Zugliano,"13° 12' 25.79'' E, 46° 01' 35.01'' N"
009 - Parcheggio Basaldella,Basaldella - Via San Martino/Piazza Quattro Novembre,"13° 12' 10.39'' E, 46° 01' 39.36'' N"
010 - Parcheggio via Adriatica,Basaldella - Via Adriatica,"13° 13' 01.60'' E, 46° 01' 53.54'' N"
011 - Area esterna al campo sportivo Villa Primavera,Villa Primavera - Viale delle Rose,"13° 12' 20.15'' E, 46° 02' 24.38'' N"
012 - Parcheggio Piscina Villa Primavera,Villa Primavera - Via Santa Caterina,"13° 11' 54.85'' E, 46° 02' 38.27'' N"
013 - Parcheggio scuola Elementare di Basaldella,Basaldella - Via Scortoles,"13° 12' 21.57'' E, 46° 01' 59.35'' N"
