Denominazione,Indirizzo,Coordinate
001 - Sedegliano - Parcheggio via XXIV Maggio,Sedegliano - via XXIV Maggio,"12° 58' 37.13'' E, 46° 00' 47.26'' N"
002 - Gradisca - Piazza Regina Margherita ,fraz. Gradisca - Piazza Regina Margherita,"12° 57' 51.23'' E, 46° 00' 04.84'' N"
003 - Rivis - Area verde Via Canonica,Rivis - Via della Canonica,"12° 56' 27.79'' E, 46° 00' 44.78'' N"
004 - Turrida - Piazza ,fraz. Turrida - Via Montello,"12° 55' 54.79'' E, 46° 01' 41.78'' N"
005 - Grions Piazza Vittorio Emanuele,fraz. Grions - Piazza Vittorio Emanuele,"12° 58' 10.65'' E, 46° 02' 15.71'' N"
007 - Coderno - Parcheggio,fraz. Coderno - Via della Giustizia,"12° 59' 27.97'' E, 46° 01' 48.60'' N"
008 - Area giochi - Sedegliano,Sedegliano - Via Pio Paschini,"12° 58' 39.82'' E, 46° 01' 01.21'' N"
009 - Piazza di Redenzicco,fraz. Redenzicco - piazza del Popolo,"12° 55' 53.09'' E, 46° 02' 25.05'' N"
010 - Piazzetta di Coderno,fraz. Coderno - via Trieste,"12° 59' 35.96'' E, 46° 01' 50.43'' N"
011 - Piazza di San Lorenzo,fraz. San Lorenzo - piazza Venezia,"12° 59' 51.78'' E, 46° 00' 02.96'' N"
012 - Piazzetta di San Lorenzo,fraz. San Lorenzo - via G. Verdi,"12° 59' 44.73'' E, 46° 00' 04.70'' N"
"013 - Lottizzazione ""Tai ciamps di vie di Rivis""",frazione Gradisca - Via  don L. Gozzi,"12° 57' 32.23'' E, 46° 00' 05.98'' N"
