,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        6215
      ","
        220
      ","
        146
      ","
        6581
      "
"
        Numero di famiglie
      ","
        2720
      ","
        91
      ","
        63
      ","
        2874
      "
"
        Numero di abitazioni
      ","
        2832
      ","
        103
      ","
        84
      ","
        3019
      "
"
        Numero di edifici
      ","
        1830
      ","
        92
      ","
        81
      ","
        2003
      "
"
        Numero di edifici residenziali
      ","
        1395
      ","
        64
      ","
        60
      ","
        1519
      "
