Denominazione,Indirizzo,Coordinate
001 - Case di Manzano - Area verde Via Isola d'Istria,FRAZIONE CASE DI MANZANO - VIA ISOLA ISTRIA,"13° 23' 43.82'' E, 45° 59' 48.25'' N"
002 - Case di Manzano - Piazza San Giuseppe,FRAZIONE CASE DI MANZANO - PIAZZA SAN GIUSEPPE IN VIA SAN TOMMASO,"13° 23' 35.51'' E, 45° 59' 52.73'' N"
003 - Manzano - Area verde Via Salvemini,MANZANO - VIA SALVEMINI,"13° 23' 06.93'' E, 45° 59' 15.25'' N"
005 - Manzano - Sede Municipale,"MANZANO - VIA NATISONE, 34","13° 23' 08.71'' E, 45° 59' 21.60'' N"
007 - Manzano - Casa dell'Acqua,MANZANO - VIA ZORUTTI,"13° 22' 55.50'' E, 45° 59' 13.02'' N"
010 - Manzano - Via del Cristo,MANZANO - VIA DEL CRISTO,"13° 22' 14.02'' E, 45° 59' 07.69'' N"
011 - San Nicolò - Area festeggiamenti,SAN NICOLO - VIA L. ARIOSTO,"13° 22' 45.76'' E, 45° 58' 33.64'' N"
012 - San Lorenzo - Campo Sportivo,FRAZIONE SAN LORENZO SAN LORENZO - VIA DELLA MURAGLIA,"13° 21' 57.51'' E, 45° 58' 19.82'' N"
013 - Abbazia di Rosazzo,FRAZIONE ROSAZZO - PIAZZA ABBAZIA,"13° 25' 18.75'' E, 46° 00' 30.39'' N"
014 - Oleis - Area verde via Vittorio Veneto,"FRAZIONE OLEIS - VIA VITTORIO VENETO, 10","13° 23' 27.12'' E, 46° 00' 56.76'' N"
016 - Manzano - Via Bruna Zanuttini,VARIANTE EST SOTTOPASSO GRANDE SEDIA - VIA BRUNA ZANUTTINI,"13° 22' 59.88'' E, 45° 59' 04.96'' N"
017 - Manzinello - Ex Scuola Elementare,FRAZ. MANZINELLO - VIA PRINCIPALE,"13° 20' 43.52'' E, 45° 58' 54.44'' N"
019 - Manzano - Parco Nello Menotti via Libertà,MANZANO - VIA LIBERTA,"13° 22' 24.26'' E, 45° 59' 36.31'' N"
