Denominazione,Indirizzo,Coordinate
003 - Area impianti di base Via F.lli Cervi/Via dei Campi,Ronchi dei Legionari - via dei Campi,"13° 30' 10.98'' E, 45° 49' 30.71'' N"
004 - Parcheggio Piazzale Atleti Azzurri d'Italia,Ronchi dei Legionari - P.le Atleti Azzurri d'Italia,"13° 29' 34.05'' E, 45° 49' 57.57'' N"
006 - Piazza San Tommaso,Soleschiano - Piazza San Tommaso,"13° 29' 07.36'' E, 45° 50' 12.74'' N"
007 - Piazza Santo Stefano,Vermegliano - Piazza Santo Stefano,"13° 30' 40.12'' E, 45° 50' 07.91'' N"
008 - Piazzale Candotto/Via Capitello,Vermegliano - via Capitello,"13° 30' 40.35'' E, 45° 49' 52.73'' N"
009 - Parcheggio Via Marconi,Vermegliano - via Marconi,"13° 30' 20.75'' E, 45° 49' 51.77'' N"
010 - Parcheggio Feste,Selz - via Capitello ,"13° 30' 51.37'' E, 45° 49' 25.34'' N"
011 - Via Cernic,Ronchi dei Legionari - via Cernic,"13° 29' 48.78'' E, 45° 50' 04.17'' N"
012 - Via Friuli/Via San Vito,Ronchi dei Legionari - via Friuli,"13° 29' 33.84'' E, 45° 48' 50.63'' N"
