Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA DI VIA DEI CAMPI,Ronchi dei Legionari - Via dei Campi,"13° 30' 14.10'' E, 45° 49' 34.73'' N"
003 - SCUOLA PRIMARIA DI VIA FRATELLI CERVI,Ronchi Dei Legionari - Via Fratelli Cervi,"13° 30' 08.79'' E, 45° 49' 28.65'' N"
004 - SCUOLA PRIMARIA L. BRUMATI,Vermegliano - Via Capitello 10,"13° 30' 39.63'' E, 45° 50' 02.42'' N"
005 - SCUOLA SECONDARIA DI 1° LEONARDO DA VINCI,Ronchi deì Legionari - Via Gabriele D'Annunzio 18,"13° 30' 12.52'' E, 45° 49' 33.40'' N"
006 - SCUOLA PRIMARIA VITTORINO DA FELTRE,Ronchi dei Legionari - Via Gabriele D'Annunzio 22,"13° 30' 12.19'' E, 45° 49' 36.01'' N"
007 - SCUOLA DELL'INFANZIA DI VIA CAPITELLO,Vermegliano - Via Capitello,"13° 30' 37.67'' E, 45° 50' 02.70'' N"
008 - SCUOLA DELL'INFANZIA DI VIA CAPITELLO - LINGUA INS.SLOVENA,Vermegliano - Via Capitello,"13° 30' 38.28'' E, 45° 50' 02.93'' N"
009 - SCUOLA PRIMARIA DI VERMEGLIANO - LINGUA INS.SLOVENA,Vermegliano - Via Capitello 8,"13° 30' 40.87'' E, 45° 50' 01.41'' N"
010 - ASILO NIDO COMUNALE,Ronchi dei Legionari - Via Stagni 5,"13° 30' 24.75'' E, 45° 49' 25.95'' N"
011 - POLO SCOLASTICO - palestra,,"13° 30' 14.72'' E, 45° 49' 35.50'' N"
