,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        2348
      ","
        12
      ","
        505
      ","
        2865
      "
"
        Numero di famiglie
      ","
        926
      ","
        5
      ","
        191
      ","
        1122
      "
"
        Numero di abitazioni
      ","
        1103
      ","
        7
      ","
        209
      ","
        1319
      "
"
        Numero di edifici
      ","
        967
      ","
        11
      ","
        189
      ","
        1167
      "
"
        Numero di edifici residenziali
      ","
        832
      ","
        7
      ","
        169
      ","
        1008
      "
