Denominazione,Sensori,Coordinate
PCIV - Cellino,"Umidità, Temperatura, Pioggia","12° 28' 17.00'' E, 46° 14' 47.00'' N"
PCIV - Casera Pradut,"Umidità, Altezza della neve, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Vento raffica (direzione), Vento raffica (intensità)","12° 33' 50.00'' E, 46° 15' 23.00'' N"
PCIV - Lesis,"Temperatura, Idrometro, Pioggia","12° 32' 40.99'' E, 46° 16' 19.99'' N"
PCIV - Claut Tre Pini,"Umidità, Altezza della neve, Temperatura, Pioggia","12° 30' 02.02'' E, 46° 15' 49.00'' N"
PCIV - Rifugio Pussa,"Umidità, Pressione, Altezza della neve, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","12° 35' 26.02'' E, 46° 20' 43.01'' N"
PCIV - Casera Podestine,"Umidità, Altezza della neve, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Vento raffica (direzione), Vento raffica (intensità)","12° 36' 06.01'' E, 46° 17' 51.00'' N"
PCIV - Baldass,"Umidità, Pressione, Altezza della neve, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","12° 34' 23.02'' E, 46° 14' 34.01'' N"
PCIV - Settimana Briglia,Idrometro,"12° 30' 02.02'' E, 46° 16' 58.01'' N"
