Denominazione,Indirizzo,Coordinate
001 - Area scoperta annessa al Centro scolastico,Marsure di Sotto - via Casali Merlo,"13° 17' 47.16'' E, 46° 07' 54.96'' N"
005 - Ravosa Nord ,Ravosa - Via Rio Maior,"13° 17' 38.61'' E, 46° 09' 05.15'' N"
006 - Magredis - Lascito Fabris,Magredis - Via Ellero ,"13° 18' 17.52'' E, 46° 08' 37.28'' N"
008 - Grions - ex scuole,Grions - Via Asilo,"13° 18' 25.21'' E, 46° 06' 08.06'' N"
009 - Povoletto Villa Pitotti,Povoletto - Via Beltramini,"13° 18' 14.34'' E, 46° 07' 09.35'' N"
010 - Bellazoia - Piazza,Bellazoia - Piazza Isonzo,"13° 19' 05.72'' E, 46° 08' 14.00'' N"
011 - Siacco,Siacco - Via Cividale,"13° 18' 49.01'' E, 46° 07' 46.57'' N"
013 - Savorgnano Asilo,Savorgnano del Torre - Via Principale,"13° 15' 59.56'' E, 46° 09' 52.81'' N"
015 - Salt slargo Arcadia,Salt presso Pizzeria Arcadia - via Udine,"13° 16' 56.98'' E, 46° 06' 49.00'' N"
016 - Povoletto centro ricreativo giovanile,Povoletto Capoluogo - Via Dante,"13° 17' 51.10'' E, 46° 07' 10.53'' N"
017 - Belvedere,Belvedere  - Via del Tiglio,"13° 17' 01.17'' E, 46° 07' 57.00'' N"
018 - Primulacco Chiesa,Primulacco - Via del Giglio,"13° 16' 30.29'' E, 46° 08' 29.32'' N"
019 - Marsure di Sopra,Marsure di Sopra - Via dei Platani,"13° 16' 47.56'' E, 46° 08' 34.74'' N"
020 - Primulacco Bar Montecarlo,Primulacco - Via delle Azalee,"13° 16' 10.42'' E, 46° 08' 34.69'' N"
022 - Salt Posta,Salt - Via Ermes di Colloredo,"13° 17' 18.99'' E, 46° 06' 56.80'' N"
023 - Grions Zona industriale,Grions - Via Pramollo,"13° 17' 27.95'' E, 46° 05' 38.79'' N"
026 - Marsure di Sotto,Marsure di Sotto - Via A. Malignani,"13° 17' 53.25'' E, 46° 07' 42.97'' N"
027 - Casali  Jacob,Savorgnano del Torre - Primulacco - Casali Jacob,"13° 16' 34.11'' E, 46° 08' 59.74'' N"
029 - Povoletto Sud,Povoletto - Via Mander,"13° 18' 07.69'' E, 46° 06' 54.83'' N"
030 - Savorgnano via dei Boschi,Savorgnano del Torre - Via dei Boschi,"13° 16' 04.91'' E, 46° 09' 59.55'' N"
032 - Grions nord,Grions del Torre - Via Monte canin,"13° 18' 14.40'' E, 46° 06' 24.66'' N"
033 - Grions Via Repubblica,Grions del Torre  - Via Repubblica,"13° 18' 48.24'' E, 46° 06' 13.68'' N"
035 - Ravosa Via Fontana Falcon Pavie,"Ravosa - Via Fontana Falcon, 4","13° 17' 40.19'' E, 46° 09' 41.31'' N"
037 - Bellazoia Nando,Bellazoia  - Via del Ponte,"13° 19' 03.26'' E, 46° 08' 25.08'' N"
038 - Lottizzazione Zancan - Parco Giochi,Povoletto - Via 4 settembre 44,"13° 18' 05.39'' E, 46° 07' 13.28'' N"
039 - Povoletto - Via Beltramini,Povoletto  - Via Beltramini,"13° 18' 57.62'' E, 46° 07' 03.79'' N"
040 - Savorgnano Chiesa,Savorgnano del Torre - Via San Michele,"13° 15' 54.47'' E, 46° 09' 59.63'' N"
041 - Savorgnano Monumento,Savorgnano del Torre - Piazza Monumento,"13° 16' 11.47'' E, 46° 09' 49.03'' N"
042 - Via Kennedy,Salt di Povoletto - Via Kennedy,"13° 17' 09.33'' E, 46° 06' 41.57'' N"
043 - via verona,Salt di Povoletto - Via Verona,"13° 17' 02.17'' E, 46° 06' 54.33'' N"
046 - Via Risorgimento,Savorgnano del Torre - Via Risorgimento,"13° 15' 52.49'' E, 46° 09' 50.51'' N"
047 - Magredis,Magredis - Via Montegrappa,"13° 18' 17.13'' E, 46° 08' 28.36'' N"
048 - Magredis Sud,Magredis - Via della Chiesa,"13° 18' 26.38'' E, 46° 08' 25.34'' N"
049 - Povoletto Zona Industriale,Povoletto - Via Faedis,"13° 18' 21.89'' E, 46° 07' 26.54'' N"
