Denominazione,Sensori,Coordinate
PCIV - Cividale Idro,"Portata, Idrometro","13° 25' 50.02'' E, 46° 05' 30.01'' N"
PCIV - Cividale T.P.,"Umidità, Pressione, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","13° 25' 05.99'' E, 46° 05' 48.01'' N"
H4 - Cividale,"Umidità, Pressione, Temperatura, Pioggia, Temperatura al suolo, Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","13° 25' 14.88'' E, 46° 04' 53.04'' N"
