Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA PORCIA - PALSE MARIELE VENTRE,Porcia - Via San Martino 4,"12° 36' 16.77'' E, 45° 56' 43.79'' N"
002 - SCUOLA DELL'INFANZIA PORCIA - RORAI PICCOLO,Porcia - Via Vittorino da Feltre 3,"12° 37' 32.30'' E, 45° 57' 41.66'' N"
003 - SCUOLA DELL'INFANZIA PORCIA - S. ANTONIO BRUNO MUNARI,Porcia - Via Carducci 29,"12° 36' 42.23'' E, 45° 58' 26.02'' N"
004 - SCUOLA PRIMARIA LUIGI GABELLI,Porcia - Via De Pellegrini 6,"12° 36' 34.38'' E, 45° 57' 28.00'' N"
005 - SCUOLA PRIMARIA PORCIA - PALSE - GUGLIELMO MARCONI,Palse - Via Cristoforo Colombo 53,"12° 36' 14.62'' E, 45° 56' 45.30'' N"
006 - SCUOLA PRIMARIA PORCIA - RORAI PICCOLO VITTORINO DA FELTRE,Porcia - Via Vittorino da Feltre 1,"12° 37' 35.12'' E, 45° 57' 41.81'' N"
007 - SCUOLA PRIMARIA ALESSANDRO  MANZONI PORCIA - S. ANTONIO DON MILANI,S.Antonio - Via Lazio 27,"12° 36' 35.11'' E, 45° 58' 27.83'' N"
008 - SCUOLA SECONDARIA DI 1° GRADO GIACOMO ZANELLA,Porcia - Via De Pellegrini 6,"12° 36' 35.59'' E, 45° 57' 29.16'' N"
009 - SCUOLA PRIMARIA LUIGI GABELLI - palestra,Porcia - Via Vietti,"12° 36' 42.83'' E, 45° 57' 37.97'' N"
011 - SCUOLA PRIMARIA PORCIA - RORAI PICCOLO VITTORINO DA FELTRE - palestra,Rorai Piccolo - Via Vittorino da Feltre 1,"12° 37' 31.52'' E, 45° 57' 39.61'' N"
012 - SCUOLA DELL'INFANZIA PARITARIA MONUMENTO AI CADUTI,Porcia - Calle del Carbon 2,"12° 36' 52.73'' E, 45° 57' 33.65'' N"
013 - SCUOLA DELL'INFANZIA PARITARIA MELARANCIA,Porcia - Via Correr 59,"12° 37' 18.77'' E, 45° 57' 29.36'' N"
014 - ASILO NIDO S. ANTONIO,Porcia - Via Carducci 29,"12° 36' 43.48'' E, 45° 58' 29.03'' N"
