Denominazione,Indirizzo,Coordinate
002 - Chiesa di S. Agnese,Roraipiccolo - via S. Agnese,"12° 37' 53.58'' E, 45° 57' 26.48'' N"
003 - Plesso scolastico di Roraipiccolo,Roraipiccolo - via Vittorino da Feltre 1-3,"12° 37' 36.81'' E, 45° 57' 39.96'' N"
004 - Plesso scolastico Porcia centro,Porcia centro - via De' Pellegrini 6,"12° 36' 33.99'' E, 45° 57' 25.62'' N"
005 - Plesso scolastico Palse,"Porcia-Palse - via Colombo 53, via S. Martino 4","12° 36' 17.17'' E, 45° 56' 42.28'' N"
006 - Chiesa di Pieve,Pieve - via Bodegan,"12° 35' 13.27'' E, 45° 57' 27.50'' N"
007 - Asili S. Antonio,Sant'Antonio - via Carducci 29 via Papa Giovanni XXIII 13,"12° 36' 42.58'' E, 45° 58' 27.92'' N"
008 - Centro socio-assistenziale,Porcia centro - via delle Risorgive 3,"12° 36' 29.03'' E, 45° 57' 20.54'' N"
009 - via Piave,Roraipiccolo - via Piave,"12° 37' 52.25'' E, 45° 57' 16.40'' N"
010 - Lago Burrida,Roraipiccolo - via Burrida,"12° 38' 29.79'' E, 45° 57' 08.12'' N"
011 - Rondover,Rondover - via Rondover,"12° 37' 06.77'' E, 45° 54' 54.11'' N"
012 - via Prata,Rondover - via Prata 11,"12° 36' 49.77'' E, 45° 55' 19.87'' N"
013 - Prato antistante villa Dolfin,Roraipiccolo - via Correr,"12° 37' 34.50'' E, 45° 57' 32.47'' N"
014 - via Meduna,Porcia centro - via Meduna,"12° 37' 07.94'' E, 45° 57' 09.68'' N"
015 - Sant'Angelo,Talponedo - via Talponedo,"12° 36' 22.72'' E, 45° 57' 53.72'' N"
016 - Area Giglio,Porcia centro - via del Platano,"12° 36' 33.69'' E, 45° 57' 22.22'' N"
