,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        3018
      ","
        108
      ","
        143
      ","
        3269
      "
"
        Numero di famiglie
      ","
        1239
      ","
        38
      ","
        47
      ","
        1324
      "
"
        Numero di abitazioni
      ","
        1352
      ","
        50
      ","
        64
      ","
        1466
      "
"
        Numero di edifici
      ","
        861
      ","
        42
      ","
        48
      ","
        951
      "
"
        Numero di edifici residenziali
      ","
        737
      ","
        33
      ","
        48
      ","
        818
      "
