Denominazione,Indirizzo,Coordinate
001 - Piazza Mercato,Santo Stefano - Piazza Mercato,"13° 07' 29.67'' E, 46° 12' 22.84'' N"
002 - Parco Santo Stefano,Santo Stefano - Via Santo Stefano,"13° 07' 24.84'' E, 46° 12' 28.27'' N"
003 - Piazza Monte,Monte - P.zza San Lorenzo,"13° 07' 15.18'' E, 46° 13' 01.59'' N"
011 - Area festeggiamenti Urbignacco,Urbignacco - Via Belvedere,"13° 08' 06.53'' E, 46° 13' 17.69'' N"
013 - Area festeggiamenti Tomba,Tomba - Via Tomba,"13° 04' 56.02'' E, 46° 13' 03.44'' N"
014 - Area Poliambulatorio,Ursinins Grande - Via Vidisêt,"13° 07' 03.46'' E, 46° 11' 54.24'' N"
015 - Case Popolari Ontegnano,Ontegnano  - Via Ontegnano,"13° 06' 18.85'' E, 46° 12' 38.21'' N"
025 - Zona Industriale,Zona Industriale CIPAF - Via Europa,"13° 05' 06.75'' E, 46° 13' 44.55'' N"
026 - Scuole Avilla,Avilla - Via Onigo di Piave,"13° 06' 29.55'' E, 46° 12' 23.88'' N"
027 - Area festeggiamenti Madonna,Madonna - P.zza Madonna,"13° 07' 23.82'' E, 46° 13' 26.95'' N"
028 - Sopramonte-Solaris ,Solaris - Via Solaris,"13° 06' 51.00'' E, 46° 13' 29.29'' N"
029 - Parcheggio esterno campo di atletica,"Arrio - Via Fornasate, 43","13° 08' 00.04'' E, 46° 12' 41.38'' N"
030 - Campo Sportivo San Floreano,San Floreano - ,"13° 06' 10.66'' E, 46° 12' 55.36'' N"
031 - Andreuzza - Madonna delle acque,Andreuzza - Via Andreuzza,"13° 05' 05.86'' E, 46° 12' 10.29'' N"
032 - Lottizzazione Chinchine,Tonzolano - Via Liberazione,"13° 06' 38.39'' E, 46° 11' 55.31'' N"
033 - Cimitero S. Bartolomeo,Santo Stefano - Via San Bortul,"13° 07' 10.60'' E, 46° 12' 28.68'' N"
