,Centri abitati,Nuclei abitati,Case sparse,Totale
"
        Popolazione residente
      ","
        19094
      ","
        210
      ","
        593
      ","
        19897
      "
"
        Numero di famiglie
      ","
        7929
      ","
        82
      ","
        239
      ","
        8250
      "
"
        Numero di abitazioni
      ","
        8616
      ","
        99
      ","
        266
      ","
        8981
      "
"
        Numero di edifici
      ","
        4248
      ","
        94
      ","
        226
      ","
        4568
      "
"
        Numero di edifici residenziali
      ","
        3830
      ","
        90
      ","
        212
      ","
        4132
      "
