Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA DI VIA PRIMO MAGGIO,Monfalcone - Via I Maggio 78,"13° 30' 52.94'' E, 45° 48' 49.68'' N"
002 - SCUOLA DELL'INFANZIA DI VIA DELLA POMA,Monfalcone - Via Della Poma 11,"13° 30' 45.50'' E, 45° 48' 43.94'' N"
003 - SCUOLA DELL'INFANZIA DI VIA TARTINI,Monfalcone - Via Tartini 12,"13° 32' 54.52'' E, 45° 48' 14.49'' N"
004 - SCUOLA DELL'INFANZIA CARLO COLLODI,Monfalcone - Via Ippolito Nievo 42,"13° 31' 13.12'' E, 45° 48' 16.11'' N"
005 - SCUOLA DELL'INFANZIA DI VIA CELLOTTINI,Monfalcone - Via Cellottini 46,"13° 31' 40.42'' E, 45° 48' 06.49'' N"
006 - SCUOLA PRIMARIA DUCA D'AOSTA,Monfalcone - Via Duca d'Aosta 54,"13° 31' 45.92'' E, 45° 48' 35.23'' N"
007 - SCUOLA PRIMARIA NAZARIO SAURO,Monfalcone - Via dei Cipressi,"13° 31' 49.86'' E, 45° 48' 01.42'' N"
008 - SCUOLA PRIMARIA CESARE BATTISTI,Monfalcone - Via 24 Maggio 34,"13° 30' 46.60'' E, 45° 48' 45.93'' N"
009 - SCUOLA SECONDARIA DI 1° GRADO EZIO GIACICH,Monfalcone - Viale Cosulich 1,"13° 31' 52.59'' E, 45° 48' 05.34'' N"
010 - SCUOLA SECONDARIA DI 1° GRADO RANDACCIO GIOVANNI,Monfalcone - Via Canaletto 10,"13° 30' 59.98'' E, 45° 48' 33.92'' N"
011 - SCUOLA SECONDARIA DI 2° GRADO MICHELANGELO BUONARROTI,Monfalcone - Via Matteotti 8,"13° 32' 12.57'' E, 45° 48' 26.01'' N"
012 - SCUOLA SECONDARIA DI 2° GRADO SANDRO PERTINI - ISIP - IPSIA,Monfalcone - Via Boito 56,"13° 32' 29.30'' E, 45° 48' 09.90'' N"
013 - SCUOLA SECONDARIA DI 2° GRADO SANDRO PERTINI,Monfalcone - Via Powell 2,"13° 32' 31.72'' E, 45° 48' 12.94'' N"
014 - SCUOLA SECONDARIA DI 2° GRADO SANDRO PERTINI - ISIP - IPSIA,Monfalcone - Via Cosulich 1,"13° 31' 53.77'' E, 45° 48' 06.20'' N"
015 - LICEO SCIENT. MICHELANGELO BUONARROTI,Via BONAVIA,"13° 31' 49.93'' E, 45° 48' 11.21'' N"
016 - SCUOLA PRIMARIA ENRICO TOTI,Monfalcone - Via Romana 96,"13° 32' 57.41'' E, 45° 48' 17.35'' N"
018 - SCUOLA PRIMARIA NAZARIO SAURO - palestra,Monfalcone - Via dei Cipressi,"13° 31' 51.05'' E, 45° 48' 00.30'' N"
021 - SCUOLA SECONDARIA DI 2° GRADO SANDRO PERTINI - palestra,Monfalcone - Via Baden Powell 1,"13° 32' 34.09'' E, 45° 48' 12.52'' N"
022 - SCUOLA SECONDARIA DI 2° GRADO MICHELANGELO BUONARROTI - palestra,Monfalcone - Via Matteotti 8,"13° 32' 13.76'' E, 45° 48' 26.59'' N"
023 - SCUOLA DELL'INFANZIA PARITARIA MARIA IMMACOLATA,Monfalcone - Via Roma 7,"13° 31' 42.53'' E, 45° 48' 26.96'' N"
024 - SCUOLA DELL'INFANZIA DI VIA GRAMSCI,Monfalcone - Via Gramsci 55,"13° 31' 28.20'' E, 45° 47' 59.56'' N"
025 - SCUOLA PRIMARIA LARGO ISONZO,Monfalcone - Piazzale Don Pino De Luisa 1,"13° 31' 14.29'' E, 45° 48' 16.93'' N"
026 - SCUOLA SECONDARIA DI 2° GRADO SANDRO PERTINI - ISTITUTO TECNICO TRASPORTI E LOGISTICA,Monfalcone - Via Errigo Boito 56,"13° 32' 30.54'' E, 45° 48' 09.63'' N"
027 - CENTRO DI FORMAZIONE PROFESSIONALE IAL FVG,Monfalcone - Viale Callisto Cosulich 20,"13° 31' 44.02'' E, 45° 48' 09.84'' N"
