Denominazione,Indirizzo,Coordinate
001 - Cosizza 2,Località di Cosizza - ,"13° 33' 31.57'' E, 46° 08' 51.76'' N"
003 - Crostù,"Frazione di Crostù - via Crostù, n.","13° 32' 07.75'' E, 46° 07' 56.06'' N"
004 - Osgnetto,"Frazione di Osgnetto - via Osgnetto, n. 60","13° 31' 24.54'' E, 46° 07' 30.95'' N"
005 - Cravero,Potcravero - via PotCravero,"13° 33' 25.88'' E, 46° 08' 01.99'' N"
006 - Picig,"Frazione di Picig - via Picig, n. 1","13° 33' 16.28'' E, 46° 07' 23.86'' N"
007 - Iesizza 1,"Frazione Iesizza - via Iesizza,  n. 92","13° 34' 08.46'' E, 46° 07' 55.61'' N"
008 - Iainich,"Frazione Iainich - via Iainich, n. 3","13° 32' 53.92'' E, 46° 06' 17.22'' N"
009 - Altana,"Frazione Altana - via Altana, n. 25","13° 32' 48.97'' E, 46° 06' 44.18'' N"
010 - Dolegna,"Frazione Dolegna - Via Dolegna, 17","13° 32' 53.24'' E, 46° 08' 33.47'' N"
011 - Postacco,"Frazione Postacco - via Postacco, n. 106","13° 32' 15.23'' E, 46° 08' 08.68'' N"
012 - Merso di Sotto,"Frazione di Merso di Sotto - via Merso di Sotto, n. 43","13° 30' 00.84'' E, 46° 06' 55.46'' N"
014 - Iesizza 2,"Frazione Iesizza - via Iesizza, n. 105","13° 34' 04.72'' E, 46° 07' 56.46'' N"
015 - Seuza,"Frazione Seuza - via Seuza, n. 31","13° 33' 21.29'' E, 46° 06' 57.85'' N"
016 - Merso di Sopra,"Frazione di Merso di Sopra - via Merso di Sopra, n. 1","13° 31' 26.77'' E, 46° 07' 16.00'' N"
017 - San Leonardo 1,"San Leonardo - via San Leonardo, n. 67","13° 31' 50.95'' E, 46° 07' 11.64'' N"
018 - Scrutto,"Frazione Scrutto - Via Scrutto, n. 113","13° 30' 57.78'' E, 46° 07' 06.05'' N"
019 - Clastra,"Frazione Clastra - via Clastra, n. 1","13° 31' 17.42'' E, 46° 07' 54.86'' N"
020 - San Leonardo 2,"San Leonardo - via San Leonardo, n. 119","13° 31' 48.15'' E, 46° 07' 10.89'' N"
021 - Cosizza,"Frazione Cosizza - via Cosizza, n. 25","13° 33' 09.16'' E, 46° 08' 42.65'' N"
022 - San Leonardo 3,"San Leonardo - via San Leonardo, n. 101","13° 31' 55.12'' E, 46° 07' 03.41'' N"
023 - Ussivizza,"Frazione Usivizza - via Usivizza, n. 1","13° 33' 04.46'' E, 46° 07' 39.91'' N"
