Denominazione,Indirizzo,Coordinate
001 - CARLO COLLODI,Madrisio - via Battaglia 48,"13° 03' 27.82'' E, 46° 07' 07.72'' N"
002 - GIOVANNI BOSCO,Ciconicco - via Bevilacqua 22,"13° 06' 27.84'' E, 46° 06' 02.67'' N"
003 - DIVISIONE JULIA - FAGAGNA,via Castello 74,"13° 05' 23.25'' E, 46° 06' 52.17'' N"
004 - GIOVANNI BOSCO,Ciconicco - via Bevilacqua 16,"13° 06' 29.34'' E, 46° 06' 01.75'' N"
005 - DIVISIONE JULIA - FAGAGNA,via dei Colii 7,"13° 05' 27.70'' E, 46° 06' 51.37'' N"
006 - DIVISIONE JULIA - FAGAGNA,via dei Colli 5,"13° 05' 22.19'' E, 46° 06' 50.37'' N"
007 - San Domenico Savio,via Castello 74,"13° 05' 24.62'' E, 46° 06' 53.04'' N"
008 - SCUOLA MATERNA NON STATALE MARIA BAMBINA,Fagagna - Via Unberto I 17,"13° 05' 05.05'' E, 46° 06' 43.73'' N"
009 - SCUOLA PRIMARIA PARROCCHIALE NOEMI NIGRIS,Fagagna - Via Unberto I 17,"13° 05' 07.96'' E, 46° 06' 43.16'' N"
