Denominazione,Sensori,Coordinate
PCIV - Fagagna,"Temperatura, Pioggia","13° 05' 53.02'' E, 46° 06' 51.98'' N"
H4 - Fagagna,"Tensione Batteria, Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Temperatura al suolo, Temperatura a 50 cm, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento a 2 m (intensità), Vento raffica (direzione), Vento raffica (intensità), Temperatura sotto suolo (10cm)","13° 05' 02.04'' E, 46° 06' 06.12'' N"
