Denominazione,Indirizzo,Coordinate
001 - Area di sosta scuola Madrisio,"Madrisio - Via Battaglia, 50","13° 03' 26.10'' E, 46° 07' 08.27'' N"
002 - Campo sportivo di Via Schiratti,Fagagna - Via Giacomo Schiratti,"13° 05' 00.32'' E, 46° 06' 36.37'' N"
003 - Ex area giochi Ciconicco,Ciconicco - Via dei Roncs,"13° 06' 16.27'' E, 46° 06' 12.81'' N"
005 - Rotonda di Villaverde,Villaverde - Villaverde,"13° 03' 44.96'' E, 46° 07' 42.14'' N"
006 - Area ex peep,Fagagna - Via Antonio Zanon,"13° 04' 53.58'' E, 46° 06' 53.54'' N"
007 - Cjase di Catine,"Villalta - Via Selvuzzis, 1","13° 06' 51.69'' E, 46° 06' 05.21'' N"
008 - Parcheggio Via dei Fistulari,Fagagna - Via dei Fistulari,"13° 05' 24.81'' E, 46° 06' 38.04'' N"
009 - Piazza San Giovanni in Colle,San Giovanni in Colle - Via Friuli,"13° 04' 11.44'' E, 46° 07' 02.10'' N"
010 - Parcheggio del cimitero di Madrisio,Madrisio - Via Maggiore,"13° 03' 22.20'' E, 46° 06' 51.35'' N"
011 - Parcheggio Miri Bar,"Battaglia - Via Battaglia, 4","13° 03' 36.86'' E, 46° 07' 05.85'' N"
012 - Parcheggio scuole Fagagna,"Fagagna - Via dei Colli, 5","13° 05' 24.88'' E, 46° 06' 50.34'' N"
013 - Parcheggio Atelier,"Fagagna - S.P 51 Via dei Colli, 62","13° 05' 47.28'' E, 46° 06' 50.30'' N"
014 - Braida Calligaris Ciconicco,Ciconicco - Via Braida Calligaris,"13° 06' 23.72'' E, 46° 05' 57.46'' N"
015 - Oasi dei Quadris,Fagagna - S.P 100 di Colloredo di Monte Albano,"13° 05' 09.19'' E, 46° 07' 38.92'' N"
