Denominazione,Indirizzo,Coordinate
001 - Area parcheggio Via Capitan Maso,Budoia - Via Capitan Maso,"12° 32' 04.81'' E, 46° 02' 28.38'' N"
002 - Area Cortile Scuole Elementari Budoia,Budoia - Piazza Umberto I°,"12° 31' 56.95'' E, 46° 02' 32.55'' N"
003 - Area parccheggio Via Pordenone,Budoia - Via Pordenone,"12° 32' 19.59'' E, 46° 02' 28.53'' N"
004 - Area parcheggio Via Roma,Budoia - Via Roma,"12° 32' 09.07'' E, 46° 02' 41.61'' N"
005 - Area parcheggio Via Cal Mattia,Budoia - Via Cal Mattia,"12° 31' 42.35'' E, 46° 02' 45.13'' N"
"006 - Area parchegio ""Ca del Bosco""",Budoia - Via Bianco,"12° 31' 43.94'' E, 46° 02' 33.20'' N"
007 - Area parcheggio Bar Bianco,Budoia - Via Bianco,"12° 31' 51.37'' E, 46° 02' 42.42'' N"
008 - Area Via Stradon,Budoia - Via Stradon,"12° 32' 20.37'' E, 46° 02' 58.04'' N"
009 - Area parco pubblico Via Mons. Domenico Comin,SANTA LUCIA - Via Mons. Domenico Comin,"12° 31' 42.30'' E, 46° 02' 03.02'' N"
010 - Area Viale della Stazione,SANTA LUCIA - Viale della Stazione,"12° 32' 12.74'' E, 46° 02' 00.64'' N"
011 - Area Via Ciassival,DARDAGO - Via Ciassival,"12° 31' 58.19'' E, 46° 03' 04.13'' N"
012 - Area Via Parmesan,DARDAGO - Via Parmesan,"12° 31' 58.21'' E, 46° 03' 09.18'' N"
013 - Area Via degli Artigiani,DARDAGO - Via degli Artigiani,"12° 32' 11.74'' E, 46° 03' 12.73'' N"
014 - Area Via Masarlada,DARDAGO - Via Masarlada,"12° 32' 26.15'' E, 46° 03' 13.08'' N"
015 - Area Via Rivetta,DARDAGO - Via Rivetta,"12° 32' 16.08'' E, 46° 03' 22.03'' N"
016 - Area Via San Tomè,DARDAGO - Via San Tomè,"12° 31' 54.23'' E, 46° 03' 28.61'' N"
