Denominazione,Indirizzo,Coordinate
001 - Centro civico di Ponteacco,Ponteacco - Strada Statale n°54,"13° 29' 21.82'' E, 46° 08' 51.44'' N"
002 - Mezzana,Mezzana - ,"13° 30' 05.94'' E, 46° 09' 28.52'' N"
003 - Sorzento,Sorzento - ,"13° 29' 21.46'' E, 46° 08' 21.34'' N"
004 - Biarzo,Biarzo - ,"13° 29' 06.99'' E, 46° 08' 33.65'' N"
005 - San Pietro al Natisone - capoluogo,capoluogo - via Centro Studi,"13° 29' 14.22'' E, 46° 07' 47.07'' N"
006 - Vernasso,Vernasso - ,"13° 28' 40.36'' E, 46° 07' 22.58'' N"
007 - Azzida,AZZIDA - via Stretta,"13° 29' 26.17'' E, 46° 07' 03.25'' N"
008 - Correda,CORREDA - ,"13° 29' 53.30'' E, 46° 07' 52.83'' N"
010 - Chiabai,CHIABAI - ,"13° 31' 34.88'' E, 46° 08' 55.97'' N"
011 - Puoie,PUOIE - ,"13° 31' 00.28'' E, 46° 09' 30.86'' N"
012 - Vernassino di sopra,VERNASSINO - ,"13° 31' 05.19'' E, 46° 09' 39.30'' N"
013 - Costa,COSTA - ,"13° 31' 16.16'' E, 46° 09' 59.92'' N"
