Denominazione,Sensori,Coordinate
H2 - San Pietro al Natisone,"Temperatura, Pioggia","13° 29' 15.00'' E, 46° 06' 54.00'' N"
PCIV - Azzida,"Temperatura, Idrometro, Pioggia","13° 29' 42.00'' E, 46° 07' 05.02'' N"
H4 - San Pietro al Natisone,"Tensione Batteria, Umidità, Pressione, Bagnatura fogliare, Temperatura, Pioggia, Vento vettoriale, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","13° 29' 15.00'' E, 46° 06' 54.00'' N"
