Denominazione,Indirizzo,Coordinate
002 - Parcheggio Scuole Medie,Zoppola - Via Giardini 31,"12° 46' 27.92'' E, 45° 57' 49.91'' N"
005 - Parcheggio Piazza Tonneins,Zoppola  - Piazza Tonneins,"12° 46' 20.74'' E, 45° 57' 54.10'' N"
006 - Parcheggio campo sportivo Zoppola,Zoppola - Via Francesco Panciera,"12° 46' 19.91'' E, 45° 58' 06.81'' N"
008 - Parcheggio pubblico Via Chinata ,Zoppola - Via Chinata,"12° 45' 59.61'' E, 45° 58' 05.21'' N"
010 - Parcheggio via Broili Cusano,Cusano - via Broili,"12° 45' 30.26'' E, 45° 56' 50.73'' N"
016 - Area verde Parco Rorai,Poincicco - Piazza Rorai,"12° 44' 33.29'' E, 45° 56' 50.68'' N"
"019 - Piazzale ""Bingo""",Ponte Meduna - Via Risera,"12° 42' 36.68'' E, 45° 56' 43.69'' N"
020 - Piazzale Località Ponte Meduna,Ponte Meduna - Via Ponte Meduna,"12° 42' 18.53'' E, 45° 56' 38.97'' N"
021 - Parcheggio ex SME,Cusano - Via Bixio,"12° 46' 11.89'' E, 45° 57' 02.76'' N"
026 - Parcheggio  Trattoria Al Rifugio,Orcenico Inferiore  - Via Codroipo 9,"12° 47' 24.45'' E, 45° 57' 10.90'' N"
028 - Parcheggio via S. Pellico Orc. Superiore,Orcenico Superiore - Via Silvio Pellico,"12° 49' 18.60'' E, 45° 57' 42.54'' N"
030 - Piazza Orcenico Superiore,Orcenico Superiore - Piazza,"12° 48' 49.50'' E, 45° 57' 59.27'' N"
031 - Ex scuole Murlis,Murlis - Via Casello,"12° 47' 03.19'' E, 45° 59' 27.55'' N"
034 - Parcheggio Bar Taurian  Ovoledo,Ovoledo - Via Murlis 25,"12° 46' 57.92'' E, 45° 58' 43.76'' N"
035 - Parcheggio Bar Cicchetti,Castions - Via Viattis,"12° 47' 46.40'' E, 45° 58' 23.83'' N"
037 - Parcheggio di fronte Casa di Riposo,Castions - Via Favetti,"12° 48' 03.01'' E, 45° 58' 29.13'' N"
039 - Parcheggio scuole Castions,Castions - Piazza Micoli Toscano,"12° 48' 02.98'' E, 45° 58' 15.79'' N"
040 - Parcheggio via San Marco Cevraia,Castions Località Cevraia - Via San Marco ,"12° 47' 46.29'' E, 45° 57' 54.77'' N"
042 - Parcheggio incrocio Julia-Saccons,Castions - Incrocio Via Julia- Via Saccons,"12° 47' 42.99'' E, 45° 58' 12.21'' N"
047 - Area verde Via Leoncavallo ,Policreta - Via Leoncavallo,"12° 44' 09.24'' E, 45° 56' 42.80'' N"
048 - Via incrocio Panciera-Meduna,Zoppola - incrocio via Panciera-Meduna,"12° 46' 00.62'' E, 45° 57' 39.07'' N"
