Denominazione,Sensori,Coordinate
PCIV - Cilia,"Temperatura, Pioggia","12° 47' 42.00'' E, 46° 13' 32.99'' N"
PCIV - Meduno,"Temperatura, Idrometro, Pioggia","12° 46' 23.02'' E, 46° 13' 05.02'' N"
