Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA DI TOLMEZZO/VIA DELLA VITTORIA,Tolmezzo - Via della Vittoria,"13° 00' 44.23'' E, 46° 24' 39.60'' N"
002 - SCUOLA DELL'INFANZIA DI TOLMEZZO/VIA DE MARCHI,Tolmezzo - Via G. De Marchi 1,"13° 00' 59.67'' E, 46° 24' 09.57'' N"
003 - Di ILLEGIO,ILLEGIO - VIA COLOMBO,"13° 03' 17.52'' E, 46° 25' 46.06'' N"
004 - SCUOLA DELL'INFANZIA DI TOLMEZZO/IMPONZO,Imponzo - Via Mignezza,"13° 02' 17.35'' E, 46° 26' 55.35'' N"
005 - SCUOLA DELL'INFANZIA DI TOLMEZZO/ TERZO,Terzo - Via Romana,"13° 01' 13.15'' E, 46° 25' 55.70'' N"
006 - SCUOLA PRIMARIA DI VIA DANTE,Tolmezzo - Via Dante,"13° 00' 41.93'' E, 46° 24' 23.36'' N"
007 - SCUOLA PRIMARIA PADRE DAVID MARIA TUROLDO,Tolmezzo - Via Monte Festa 3,"13° 00' 56.34'' E, 46° 24' 07.12'' N"
008 - SCUOLA PRIMARIA G. MUNER - CANEVA DI TOLMEZZO,Terzo - Via Terzo 1,"13° 00' 16.95'' E, 46° 24' 41.78'' N"
009 - SCUOLA PRIMARIA DI IMPONZO,Imponzo - Via Mignezza,"13° 02' 16.64'' E, 46° 26' 56.00'' N"
010 - SCUOLA SECONDARIA DI 1° GRADO GIAN FRANSCESCO DA TOLMEZZO,Tolmezzo - Via Battisti 10,"13° 00' 47.58'' E, 46° 24' 16.23'' N"
011 - SCUOLA SECONDARIA DI 2° GRADO GIUSEPPE MARCHI,Tolmezzo - Via Battisti 10,"13° 00' 52.11'' E, 46° 24' 15.78'' N"
012 - SCUOLA SECONDARIA DI 2° GRADO PIO PASCHINI,Tolmezzo - Via Ampezzo,"13° 00' 31.13'' E, 46° 24' 04.74'' N"
013 - SCUOLA SECONDARIA DI 2° GRADO FERMO SOLARI,Tolmezzo - Via A. Moro 34,"13° 00' 35.43'' E, 46° 24' 03.91'' N"
014 - SCUOLA PRIMARIA DI BETANIA,Betania - Via Venzone,"13° 02' 01.23'' E, 46° 23' 52.96'' N"
015 - SCUOLA PRIMARIA G. MUNER - CANEVA DI TOLMEZZO,Caneva - Via Terzo,"13° 00' 16.23'' E, 46° 24' 41.09'' N"
016 - SCUOLA PRIMARIA PARITARIA DON BOSCO,Tolmezzo - Via Dante,"13° 00' 44.43'' E, 46° 24' 26.14'' N"
017 - SCUOLA SECONDARIA DI 2° GRADO MICHELE GORTANI TOLMEZZO,Tolmezzo - Via A. Moro 34,"13° 00' 35.97'' E, 46° 24' 03.24'' N"
018 - SCUOLA SECONDARIA DI 2° GRADO IPSIA A. CANDONI TOLMEZZO,Tolmezzo - Via Aldo Moro 30,"13° 00' 34.15'' E, 46° 24' 06.73'' N"
019 - SCUOLA SECONDARIA DI 2° GRADO PIO PASCHINI,Tolmezzo - Via Ampezzo 18,"13° 00' 27.25'' E, 46° 24' 04.47'' N"
020 - SCUOLA SECONDARIA DI 2° GRADO IPSC JACOPO LINUSSIO,Tolmezzo - Via Aldo Moro,"13° 00' 35.67'' E, 46° 24' 06.21'' N"
021 - SCUOLA DELL'INFANZIA PARITARIA A. M. GIANNELLI,Tolmezzo - Via P.F. Calvi 2,"13° 00' 57.60'' E, 46° 23' 56.54'' N"
022 - SCUOLA DELL'INFANZIA DI TOLMEZZO/BETANIA,Betania - ,"13° 02' 03.88'' E, 46° 23' 52.28'' N"
023 - SCUOLA SECONDARIA DI 1° GRADO PARITARIA DON BOSCO,Tolmezzo - Via Dante 3,"13° 00' 43.54'' E, 46° 24' 26.44'' N"
