Denominazione,Indirizzo,Coordinate
001 - Parcheggio Tennis,Capoluogo - Via Giuseppe Marchi,"13° 01' 17.12'' E, 46° 24' 05.74'' N"
002 - Parco Mini Golf,Capoluogo - Via Francesco Janesi,"13° 01' 20.36'' E, 46° 24' 02.61'' N"
003 - Area SportivaA Centro Poliscolastico,Capoluogo - Viale Aldo Moro,"13° 00' 38.20'' E, 46° 24' 04.96'' N"
004 - Sede A.N.A. Gruppo Tita Copetti,Capoluogo - Via Val di Gorto,"13° 00' 17.38'' E, 46° 24' 01.90'' N"
005 - Parcheggio Via Marchi - Zona Cimitero,Capoluogo - Via Giuseppe Marchi,"13° 01' 30.68'' E, 46° 23' 55.96'' N"
006 - Parcheggio Carcere,Capoluogo - Via Paluzza,"13° 01' 12.40'' E, 46° 25' 11.64'' N"
007 - Campo Lutiseit,Frazione Fusea - Via Lutiseit,"12° 59' 34.37'' E, 46° 25' 17.46'' N"
009 - Fermata S.A.F. Cazzaso Nuova,Frazione Fusea - Via Pola - Loc. Cazzaso Nuova,"12° 59' 35.11'' E, 46° 26' 12.75'' N"
010 - Fermata S.A.F. Terzo,Frazione Terzo - Incrocio Via Francesco Baracca con Via delle Scuole,"13° 01' 16.15'' E, 46° 25' 56.25'' N"
011 - Complesso Scolastico Betania,Capoluogo - Via Venzone - Loc. Betania,"13° 02' 01.11'' E, 46° 23' 53.84'' N"
012 - PARCHEGGIO VIA GORTANI,Tolmezzo - Via Gortani,"13° 00' 33.39'' E, 46° 24' 24.37'' N"
013 - PARCHEGGIO DELLI ZOTTI,TOLMEZZO - VIA DIVISIONE GARIBALDI,"13° 00' 44.62'' E, 46° 24' 16.23'' N"
014 - PARCHEGGIO VIA C. BATTISTI,TOLMEZZO - PIAZZA MARTIRI DELLE FOIBE,"13° 00' 46.67'' E, 46° 24' 13.98'' N"
015 - PARCHEGGIO LIDL,TOLMEZZO - VIA VAL DI GORTO,"13° 00' 30.82'' E, 46° 23' 49.74'' N"
016 - EX SCUOLA MATERNA DI FUSEA,FUSEA - VIA POLA,"12° 59' 28.46'' E, 46° 25' 40.53'' N"
017 - EX SCUOLA ELEMENTARE DI FUSEA,FUSEA - VIA POLA,"12° 59' 30.63'' E, 46° 25' 41.86'' N"
018 - TENDONE ILLEGIO,ILLEGIO - VIA C. COLOMBO,"13° 03' 22.53'' E, 46° 25' 48.52'' N"
019 - piazzale sagra,IMPONZO - Via Candoni Albino,"13° 02' 26.59'' E, 46° 26' 49.96'' N"
020 - PIAZZA CADUNEA,CADUNEA - PIAZZA DELLA LIBERTA',"13° 02' 13.46'' E, 46° 27' 15.20'' N"
021 - PIAZZETTA CASANOVA,CASANOVA - VIA DELLA CHIESA,"13° 00' 28.15'' E, 46° 25' 10.43'' N"
022 - PIAZZA DI CANEVA,CANEVA DI TOLMEZZO - Piazzza Cassetti,"12° 59' 59.32'' E, 46° 24' 28.77'' N"
023 - AREA VERDE VIA JULIUM CARNICUM,TOLMEZZO - VIA JULIUM CARNICUM,"13° 01' 56.81'' E, 46° 23' 59.64'' N"
024 - AREA VERDE VIA JULIUM CARNICUM,TOLMEZZO - VIA JULIUM CARNICUM,"13° 01' 59.02'' E, 46° 23' 59.93'' N"
025 - AREA VERDE VIA AQUILEIA,TOLMEZZO - VIA AQUILEIA,"13° 01' 52.45'' E, 46° 23' 59.82'' N"
026 - INGRESSO CAZZASO,CAZZASO - VIA MONTE CENGIO,"12° 59' 43.14'' E, 46° 25' 51.17'' N"
027 - ingresso paese illegio,ILLEGIO - VIA C. COLOMBO,"13° 03' 18.49'' E, 46° 25' 43.61'' N"
028 - Parco Via Forni di Sotto,Tolmezzo - Via Forni di Sotto,"13° 00' 26.20'' E, 46° 24' 13.86'' N"
029 - Parcheggio Mensa,Tolmezzo - Via Val di Gorto,"13° 00' 20.85'' E, 46° 24' 06.43'' N"
