Denominazione,Sensori,Coordinate
H4 - Tolmezzo,"Tensione Batteria, Umidità, Temperatura, Pioggia, Vento vettoriale, Vento (direzione), Radiazione solare","13° 00' 39.96'' E, 46° 24' 03.96'' N"
PCIV - Ponte Avons,Idrometro,"13° 00' 50.00'' E, 46° 23' 29.00'' N"
PCIV - Cedarchis,"Temperatura, Idrometro, Pioggia","13° 02' 03.98'' E, 46° 27' 20.99'' N"
PCIV - Tolmezzo,"Temperatura, Idrometro","13° 00' 16.99'' E, 46° 24' 37.01'' N"
PCIV - Tolmezzo meteo,"Umidità, Pressione, Temperatura, Pioggia, Vento (direzione), Vento (intensità), Radiazione solare, Vento raffica (direzione), Vento raffica (intensità)","13° 01' 18.98'' E, 46° 25' 18.98'' N"
