Denominazione,Indirizzo,Coordinate
001 - MENSA COMUNALE,TOLMEZZO - VIA XXV APRILE,"13° 00' 22.44'' E, 46° 24' 06.90'' N"
002 - TRIBUNALE,TOLMEZZO - PIAZZA CENTA,"13° 00' 51.63'' E, 46° 24' 20.40'' N"
005 - SEDE C.R.I.,TOLMEZZO - VIA PALUZZA,"13° 01' 15.56'' E, 46° 25' 18.41'' N"
006 - SEDE SOCCORSO ALPINO,TOLMEZZO - VIA PALUZZA,"13° 01' 15.83'' E, 46° 25' 17.34'' N"
007 - SEDE PROTEZIONE CIVILE A.N.A.,TOLMEZZO - VIA PALUZZA,"13° 01' 14.95'' E, 46° 25' 17.99'' N"
008 - VASCA ACQUEDOTTO BETANIA ALTA,TOLMEZZO - STRADA COMUNALE TOLMEZZO ILLEGIO,"13° 02' 28.02'' E, 46° 24' 21.26'' N"
009 - VASCA ACQUEDOTTO LUNGE,LOC. LUNGE - LUNGE,"13° 05' 42.91'' E, 46° 27' 09.79'' N"
010 - VASCA ACQUEDOTTO PRA' CASTELLO,TOLMEZZO - Via Prà Castello,"13° 01' 24.22'' E, 46° 24' 11.95'' N"
011 - VASCA ACQUEDOTTO VIA PALUZZA,TOLMEZZO - VIA PALUZZA,"13° 01' 27.95'' E, 46° 25' 20.63'' N"
012 - VASCA ACQUEDOTTO CASANOVA,CASANOVA - STRADA COMUNALE DI FUSEA,"13° 00' 18.07'' E, 46° 25' 03.74'' N"
013 - VASCA ACQUEDOTTO ILLEGIO,ILLEGIO - VIA CARSO,"13° 03' 46.88'' E, 46° 25' 53.38'' N"
014 - OPERA DI PRESA ACQUEDOTTO ILLEGIO,LUNGE - LUNGE,"13° 06' 19.79'' E, 46° 27' 25.46'' N"
015 - POZZO DI VIA JANESI,TOLMEZZO - VIA JANESI,"13° 01' 19.71'' E, 46° 24' 01.82'' N"
016 - Centrale Telecom,Tolmezzo - Via Tagliamento,"13° 00' 45.70'' E, 46° 23' 58.76'' N"
017 - Depuratore Comunale,Tolmezzo - Via degli artigiani,"13° 02' 05.37'' E, 46° 23' 18.38'' N"
018 - DEPURATORE GRANDE,TOLMEZZO - VIA DEL PIOPPETO,"13° 01' 23.23'' E, 46° 23' 25.67'' N"
019 - VASCA ACQUEDOTTO BETANIA BASSO,TOLMEZZO - STRADA COMUNALE TOLMEZZO ILLEGIO,"13° 02' 19.25'' E, 46° 24' 12.04'' N"
020 - POZZO RILTCO,TOLMEZZO - VIA PALUZZA,"13° 01' 19.25'' E, 46° 25' 22.28'' N"
021 - VASCA ACQUEDOTTO CAZZASO,CAZZASO - VIA POLA,"12° 59' 31.67'' E, 46° 25' 49.68'' N"
022 - VASCA ACQUEDOTTO FUSEA,FUSEA - VIA POLA,"12° 59' 26.97'' E, 46° 25' 45.90'' N"
023 - PRESA RIO CJALIN,RIO CJALIN - SENZA INDIRIZZO,"13° 00' 25.39'' E, 46° 26' 06.97'' N"
024 - VASCA ACQUEDOTTO IMPONZO CADUNEA,IMPONZO - RIO MIGNEZZA - SENZA INDIRIZZO,"13° 02' 47.33'' E, 46° 26' 52.66'' N"
025 - PRESA MIGNEZZA,IMPONZO - RIO MIGNEZZA - SENZA INDIRIZZO,"13° 02' 55.47'' E, 46° 26' 55.24'' N"
026 - VASCA ACQUEDOTTO LORENZASO,LORENZASO - SENZA INDIRIZZO,"13° 00' 55.94'' E, 46° 26' 01.23'' N"
027 - VASCA ACQUEDOTTO TERZO,TERZO - SENZA INDIRIZZO,"13° 01' 12.08'' E, 46° 26' 12.76'' N"
