Denominazione,Indirizzo,Coordinate
002 - SALARS,Salars - Piazza G. B. da Pozzo,"12° 54' 07.43'' E, 46° 31' 33.86'' N"
003 - STALIS,"Stalis - Ravascletto - Via Belvedere incrocio Via San Matteo, Ravascletto","12° 54' 58.86'' E, 46° 31' 29.35'' N"
004 - Parcheggio Centro Polifunzionale,RAVASCLETTO - Via Valcalda,"12° 55' 16.37'' E, 46° 31' 18.01'' N"
005 - CAMPIEI - campetto colonia,Campiei   - sr 465 - via Nazionale,"12° 56' 12.05'' E, 46° 31' 32.89'' N"
006 - Prepaulin - Zovello,Prepaulin  - SR 465 e via Prepaulin,"12° 56' 41.50'' E, 46° 31' 36.39'' N"
