Denominazione,Indirizzo,Coordinate
001 - SCUOLA DELL'INFANZIA ARCOBALENO,Aviano - Via Girolamo da Porcia 5,"12° 35' 38.06'' E, 46° 04' 11.42'' N"
002 - SCUOLA SECONDARIA DI 1° GRADO PADRE MARCO D'AVIANO,"Aviano - Via Stretta, 1","12° 35' 25.91'' E, 46° 04' 09.25'' N"
003 - SCUOLA PRIMARIA EDMONDO DE AMICIS,Giais - Strada di Cortina 22,"12° 36' 37.11'' E, 46° 06' 59.24'' N"
004 - SCUOLA PRIMARIA GABRIELE D'ANNUNZIO,Marsure - Via della Chiesa 1,"12° 35' 40.75'' E, 46° 05' 37.54'' N"
005 - SCUOLA PRIMARIA C. CRISTOFORI,Villotta - Via Maddalena,"12° 34' 29.08'' E, 46° 03' 36.14'' N"
006 - SCUOLA PRIMARIA CAP. G. MARCONI,Aviano - Via Stretta 1,"12° 35' 30.44'' E, 46° 04' 09.03'' N"
008 - SCUOLA DELL'INFANZIA PARITARIA FERRANTE APORTI,Aviano - Via Pordenone 2,"12° 35' 22.87'' E, 46° 04' 05.75'' N"
009 - SCUOLA DELL'INFANZIA PARITARIA MARIA IMMACOLATA,Aviano - Via della Chiesa 4,"12° 35' 39.07'' E, 46° 05' 41.44'' N"
010 - ASILO NIDO IL GIRASOLE,Aviano - Via Dante Alighieri,"12° 34' 58.14'' E, 46° 04' 12.17'' N"
011 - CENTRO DI FORMAZIONE PROFESSIONALE IAL FVG,Aviano - Via Monte Cavallo,"12° 33' 57.92'' E, 46° 04' 24.47'' N"
