Denominazione,Indirizzo,Coordinate
001 - Area Fontanabona,Fontanabona - via Modoletto/Fontanabona,"13° 11' 01.01'' E, 46° 08' 30.39'' N"
002 - Area Pazzan,Pagnacco - via Canin,"13° 11' 34.90'' E, 46° 07' 34.97'' N"
003 - presso il Cacciatore via Colloredo,Modoletto - via Colloredo,"13° 09' 58.24'' E, 46° 08' 21.11'' N"
007 - parcheggio Palmarchet via Sant'Antonio,"Zampis - via S, Antonio","13° 10' 54.15'' E, 46° 07' 04.45'' N"
009 - parcheggio scuola materna via Colugna,Plaino - via Colugna,"13° 10' 52.60'' E, 46° 06' 00.94'' N"
010 - parcheggio Delfino Blu via Giardini,Plaino - via Giardini,"13° 11' 06.85'' E, 46° 05' 45.28'' N"
012 - marolins/zorutti,Pagnacco - Via Marolins/Zorutti,"13° 10' 58.15'' E, 46° 07' 42.33'' N"
013 - parcheggio piazza S. Valentino,Plaino - via Braida di Ros,"13° 10' 53.21'' E, 46° 06' 33.41'' N"
014 - via Fruch,Lazzacco - via Fruch,"13° 10' 46.75'' E, 46° 07' 22.92'' N"
015 - via Castellerio c/o Seminario,Castellerio - Via Castellerio c/o Seminario,"13° 11' 32.87'' E, 46° 07' 00.55'' N"
016 - via freschi/coda,Zampis - via Freschi/Coda,"13° 10' 36.30'' E, 46° 07' 13.91'' N"
017 - Via Udine (parcheggio Salici),Pagnacco - via Udine 27/29,"13° 11' 24.65'' E, 46° 07' 16.72'' N"
018 - via Rizzani,Pagnacco - via Rizzani 1,"13° 11' 04.49'' E, 46° 07' 30.82'' N"
