Denominazione,Indirizzo,Coordinate
001 - Via Roma,Gleris - Via Roma - Treppo Carnico,"13° 03' 14.06'' E, 46° 32' 03.73'' N"
002 - Adiacenze Parcheggio - Piazza della cooperazione,Treppo Carnico - capoluogo - Via Matteotti,"13° 02' 38.80'' E, 46° 32' 01.85'' N"
003 - Parcheggio cimitero,Treppo Carnico - Via 4 Novembre,"13° 02' 22.73'' E, 46° 32' 02.19'' N"
004 - Località Zenodis,Zenodis - Via Vittorio Urbano,"13° 02' 07.37'' E, 46° 32' 04.23'' N"
005 - PARCHEGGIO LIGOSULLO,Ligosullo - STRADA PROVINCIALE . n°24,"13° 04' 32.50'' E, 46° 32' 21.25'' N"
006 - PARCHEGGIO LOCALITA' MAROC,Maroc - Strada Provinciale 32,"13° 04' 02.03'' E, 46° 32' 24.44'' N"
