Denominazione,Indirizzo,Coordinate
001 - PARCHEGGIO LOCALITA' TORRICELLA,VALVASONE - VIA TORRICELLA,"12° 51' 52.04'' E, 45° 58' 56.86'' N"
002 - PARCHEGGIO VIA POZZODIPINTO,VALVASONE - VIA POZZODIPINTO,"12° 52' 37.17'' E, 45° 59' 22.17'' N"
003 - PARCHEGGIO VIA PASOLINI,VALVASONE - VIA PASOLINI,"12° 51' 36.72'' E, 45° 59' 53.00'' N"
004 - LOCALITA' SASSONIA,VALVASONE - LOCALITA' SASSONIA,"12° 52' 58.30'' E, 45° 59' 57.42'' N"
005 - PONTE DELIZIA,VALVASONE - PONTE DELIZIA,"12° 53' 40.15'' E, 45° 57' 56.52'' N"
006 - PARCHEGGIO LARGO PIAVE,VALVASONE - LARGO PIAVE,"12° 51' 51.85'' E, 45° 59' 48.43'' N"
007 - LOCALITA' CASAMATTA,VALVASONE - LOCALITA' CASAMATTA,"12° 51' 44.61'' E, 45° 58' 49.20'' N"
008 - LOCALITA' FORNASINI,VALVASONE - VIA FORNASINI,"12° 52' 13.89'' E, 45° 58' 11.81'' N"
009 - PARCHEGGIO Z.A. TABINA,VALVASONE - Z.A.TABINA,"12° 52' 36.16'' E, 45° 57' 54.24'' N"
010 - PARCHEGGIO VIA TRIESTE,VALVASONE - VIA TRIESTE,"12° 52' 02.50'' E, 45° 59' 37.81'' N"
011 - VIA CROSERA,VALVASONE - VIA CROSERA,"12° 51' 58.44'' E, 45° 59' 52.05'' N"
012 - PIAZZA SAN LORENZO,SAN LORENZO - VIA DAI BEARS,"12° 49' 50.88'' E, 45° 58' 51.55'' N"
013 - PARCO URBANO,ARZENE - VIA CHIESA,"12° 50' 39.45'' E, 46° 00' 01.32'' N"
014 - PIAZZA SANTA MARGHERITA,ARZENE - PIAZZA SANTA MARGHERITA,"12° 51' 07.25'' E, 45° 59' 44.18'' N"
015 - SCUOLE ELEMENTARI SILVIO PELLICO,AEZENE - VIA SANT'ELENA,"12° 51' 24.31'' E, 45° 59' 56.59'' N"
016 - ZONA CRIPS,ARZENE - VIA CRIPS,"12° 50' 37.73'' E, 46° 00' 22.69'' N"
017 - VIA FAGIOIA,ARZENE - VIA FAGIOIA,"12° 50' 59.56'' E, 45° 59' 54.91'' N"
